F1,Accuracy,Precision,Recall,Features
0.830104255,0.827768014,0.83371603,0.82772828,sess
0.242421067,0.340509666,0.290121819,0.284568262,tcp
0.229151913,0.317662566,0.448801661,0.249736176,http
0.080562448,0.159050967,0.074422899,0.133333333,mqtt
0.592826517,0.644551845,0.663117372,0.598022235,dns
0.18091386,0.249121265,0.257422684,0.211942736,mdns
0.081534308,0.173989455,0.117628726,0.130777526,quic
0.77084065,0.798769772,0.83051388,0.789330242,ssl
0.222008117,0.281634446,0.307869572,0.26911937,bootp
0.268847162,0.354130053,0.341314192,0.31061003,ssdp
0.151003504,0.246485062,0.17487594,0.194488521,classicstun
0.269044713,0.329086116,0.540734218,0.282039144,ntp
0.892608495,0.901581722,0.893437546,0.89403403,sess;tcp
0.890992173,0.898506151,0.893876385,0.890730261,sess;http
0.840913916,0.840509666,0.842714359,0.840226378,sess;mqtt
0.957823972,0.95913884,0.960358016,0.955990568,sess;dns
0.894054333,0.901142355,0.895062539,0.89449823,sess;mdns
0.838604421,0.838752197,0.840970716,0.837392022,sess;quic
0.958877744,0.96397188,0.96343583,0.957607376,sess;ssl
0.855805199,0.852372583,0.857707205,0.855428527,sess;bootp
0.921025352,0.927065026,0.920792684,0.922477997,sess;ssdp
0.861878402,0.857205624,0.865066479,0.861968705,sess;classicstun
0.886715014,0.894991213,0.891005211,0.884916574,sess;ntp
0.384300635,0.474516696,0.526799154,0.414592322,tcp;http
0.305456545,0.386643234,0.346973284,0.348831607,tcp;mqtt
0.651267582,0.692442882,0.718247728,0.660548924,tcp;dns
0.334164279,0.428383128,0.404885557,0.374841251,tcp;mdns
0.304190029,0.387082601,0.408896316,0.347158527,tcp;quic
0.809407731,0.844903339,0.83193723,0.83441009,tcp;ssl
0.453089393,0.509666081,0.600352668,0.486386601,tcp;bootp
0.395056368,0.451669596,0.433416912,0.439536278,tcp;ssdp
0.384114186,0.475395431,0.463090714,0.416626572,tcp;classicstun
0.404155514,0.453866432,0.632317825,0.420555535,tcp;ntp
0.288376685,0.352811951,0.545754428,0.309511322,http;mqtt
0.619908203,0.679261863,0.848772174,0.626006054,http;dns
0.259763487,0.318541301,0.500200719,0.271960151,http;mdns
0.296972561,0.366871705,0.540679982,0.316020045,http;quic
0.756849146,0.80711775,0.772346383,0.785772872,http;ssl
0.370287113,0.436731107,0.665808555,0.389468413,http;bootp
0.38897668,0.445957821,0.535381346,0.418362145,http;ssdp
0.315801353,0.410808436,0.498094213,0.340271011,http;classicstun
0.342963654,0.409490334,0.660298584,0.339920844,http;ntp
0.64996608,0.671792619,0.724691215,0.653714251,mqtt;dns
0.237166226,0.289103691,0.327528359,0.268278593,mqtt;mdns
