nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
51838,393,134,766,40,42,31,66.77777777777777,44.86666666666667,131.9033078880407,0.12881182410941475,1
42287,360,130,770,36,38,32,85.71428571428571,46.733333333333334,117.46388888888889,0.11471082899305556,1
40059,342,119,781,33,40,22,75.125,62.45454545454545,117.13157894736842,0.11438630756578948,1
39928,340,119,781,33,38,22,85.71428571428571,64.27272727272727,117.43529411764706,0.11468290441176471,1
69381,508,144,756,48,54,40,70.77777777777777,45.36842105263158,136.57677165354332,0.1333757535679134,1
41824,361,133,767,34,38,42,150.0,39.095238095238095,115.85595567867036,0.11314058171745152,1
40906,351,123,777,33,38,28,150.0,53.285714285714285,116.54131054131054,0.11380987357549857,1
43598,366,132,768,34,38,40,150.0,43.15,119.12021857923497,0.11632833845628415,1
55808,406,123,777,39,40,27,119.8,66.61538461538461,137.45812807881774,0.13423645320197045,1
53976,417,143,757,39,40,46,120.0,34.82608695652174,129.4388489208633,0.12640512589928057,1
44371,359,126,774,34,38,32,150.0,55.625,123.59610027855153,0.12069931667827298,1
40809,351,122,778,34,38,20,149.75,82.7,116.26495726495726,0.11353999732905982,1
43320,379,136,764,33,38,56,150.0,31.884615384615383,114.30079155672823,0.11162186675461741,1
56352,445,131,769,42,52,46,93.57142857142857,38.869565217391305,126.63370786516855,0.12366573033707866,1
51747,393,133,767,40,40,32,120.0,56.266666666666666,131.67175572519085,0.1285856989503817,1
41079,353,129,771,33,38,43,150.0,46.421052631578945,116.37110481586403,0.11364365704674222,1
44020,370,138,762,34,38,50,150.0,27.76,118.97297297297297,0.11618454391891891,1
41516,357,124,776,34,40,26,120.0,52.15384615384615,116.29131652661064,0.1135657387955182,1
56689,441,138,762,41,52,36,116.33333333333333,37.22222222222222,128.54648526077096,0.12553367701247165,1
51750,395,128,772,37,40,20,120.0,69.0,131.0126582278481,0.12794204905063292,1
41953,364,126,774,33,38,32,150.0,50.875,115.25549450549451,0.11255419385302198,1
42828,373,126,774,34,38,36,150.0,48.388888888888886,114.82037533512064,0.11212927278820375,1
40058,342,118,782,33,38,30,150.0,61.785714285714285,117.12865497076024,0.11438345211988304,1
64519,453,136,764,41,42,31,115.0,52.06666666666667,142.42604856512142,0.1390879380518764,1
41365,356,117,783,36,40,36,120.0,44.166666666666664,116.1938202247191,0.11347052756320225,1
41578,353,122,778,36,38,30,150.0,58.8,117.78470254957507,0.11502412358356941,1
39326,332,115,785,32,38,24,150.0,64.33333333333333,118.45180722891567,0.11567559299698796,1
56270,445,129,771,41,54,34,91.42857142857143,47.94117647058823,126.4494382022472,0.12348577949438203,1
52369,402,134,766,39,42,28,100.0,55.214285714285715,130.27114427860695,0.1272179143345771,1
42512,369,135,765,35,38,44,150.0,36.45454545454545,115.20867208672087,0.11250846883468835,1
41633,358,130,770,37,38,34,150.0,51.8235294117647,116.29329608938548,0.1135676719622905,1
42105,351,120,780,35,38,18,150.25,91.88888888888889,119.95726495726495,0.11714576655982906,1
52707,400,125,775,36,40,38,119.4,45.78947368421053,131.7675,0.12867919921875,1
52923,401,133,767,39,42,32,100.0,53.375,131.9775561097257,0.128884332138404,1
45758,374,136,764,35,38,54,120.0,32.65384615384615,122.3475935828877,0.11948007185828877,1
41954,363,125,775,34,40,42,120.0,41.35,115.57575757575758,0.11286695075757576,1
41269,356,126,774,33,38,25,150.0,72.75,115.92415730337079,0.11320718486657304,1
69234,496,161,739,44,44,34,71.14285714285714,40.94117647058823,139.58467741935485,0.13631316154233872,1
41498,359,144,756,34,38,32,85.85714285714286,53.875,115.59331476323119,0.11288409644846796,1
40765,351,143,757,33,38,26,85.85714285714286,58.0,116.13960113960114,0.11341757923789174,1
42125,365,151,749,35,40,28,75.125,62.714285714285715,115.41095890410959,0.11270601455479452,1
43859,383,155,745,34,38,50,85.85714285714286,32.04,114.51436031331593,0.11183042999347259,1
56489,423,144,756,37,40,37,91.0,35.27777777777778,133.5437352245863,0.13041380393026006,1
52068,396,135,765,38,40,34,75.125,27.705882352941178,131.4848484848485,0.12840317234848486,1
42208,366,123,777,35,38,44,85.71428571428571,38.54545454545455,115.3224043715847,0.11261953551912568,1
41520,355,127,773,33,40,44,75.125,39.54545454545455,116.95774647887323,0.11421654929577464,1
42167,366,124,776,33,38,28,85.85714285714286,53.42857142857143,115.2103825136612,0.11251013917349727,1
60823,475,145,755,49,58,40,72.63636363636364,40.3,128.04842105263157,0.12504728618421052,1
51144,388,121,779,38,40,27,119.8,60.53846153846154,131.81443298969072,0.12872503221649484,1
43817,378,137,763,35,38,50,150.0,31.68,115.91798941798942,0.11320116154100529,1
41391,356,123,777,34,38,28,150.0,52.714285714285715,116.26685393258427,0.11354184954353932,1
40723,351,118,782,32,38,27,150.0,67.46153846153847,116.01994301994301,0.1133007256054131,1
41468,355,118,782,33,38,27,150.0,63.357142857142854,116.8112676056338,0.11407350352112676,1
66998,469,139,761,42,42,42,120.2,40.0,142.85287846481876,0.13950476412579957,1
41287,355,122,778,34,38,34,150.0,45.8235294117647,116.30140845070423,0.11357559419014085,1
42683,373,129,771,34,38,44,150.0,39.81818181818182,114.43163538873995,0.11174964393431636,1
42515,369,131,769,34,38,40,150.0,41.9,115.21680216802169,0.11251640836720868,1
56075,443,132,768,44,52,36,133.8,51.588235294117645,126.58013544018058,0.12361341351580135,1
59825,427,135,765,42,42,34,118.0,48.8235294117647,140.10538641686182,0.13682166642271662,1
42252,354,111,789,32,38,18,150.0,69.11111111111111,119.35593220338983,0.11655852754237288,1
42917,374,127,773,34,38,32,150.0,54.1875,114.75133689839572,0.11206185243983957,1
42014,364,126,774,35,38,31,150.0,50.46666666666667,115.42307692307692,0.1127178485576923,1
60237,458,147,753,40,42,54,112.4,25.333333333333332,131.52183406113537,0.1284392910753275,1
53234,409,140,760,38,40,46,120.0,34.34782608695652,130.1564792176039,0.1271059367359413,1
45050,368,125,775,33,38,25,150.0,65.58333333333333,122.41847826086956,0.11954929517663043,1
43383,381,128,772,35,38,40,150.0,37.2,113.86614173228347,0.11119740403543307,1
45971,386,130,770,34,40,48,120.0,35.18181818181818,119.0958549222798,0.11630454582253887,1
72758,532,162,738,53,60,42,70.4,37.904761904761905,136.76315789473685,0.13355777138157895,1
40266,345,115,785,32,38,24,85.85714285714286,69.08333333333333,116.71304347826087,0.11397758152173913,1
41629,360,126,774,32,38,26,85.85714285714286,52.333333333333336,115.6361111111111,0.11292588975694444,1
43845,384,132,768,35,40,40,85.85714285714286,40.45,114.1796875,0.11150360107421875,1
44985,380,127,773,34,38,48,100.16666666666667,35.416666666666664,118.38157894736842,0.11560701069078948,1
56366,452,137,763,41,52,28,86.57142857142857,59.07142857142857,124.70353982300885,0.12178080060840708,1
53115,402,149,751,40,40,28,99.25,63.214285714285715,132.12686567164178,0.12903014225746268,1
40133,342,130,770,33,38,26,86.0,63.0,117.34795321637426,0.11459761056286549,1
40726,350,135,765,33,38,32,85.85714285714286,50.75,116.36,0.1136328125,1
41283,354,141,759,35,40,37,75.125,43.72222222222222,116.61864406779661,0.11388539459745763,1
71545,480,149,751,44,44,37,55.125,43.55555555555556,149.05208333333334,0.14555867513020834,1
42183,367,143,757,35,40,36,75.125,39.44444444444444,114.9400544959128,0.11224614696866485,1
42995,361,134,766,33,38,30,85.85714285714286,58.8,119.09972299168975,0.11630832323407202,1
44834,365,134,766,32,38,16,85.85714285714286,49.0,122.83287671232877,0.11995398116438356,1
55078,434,140,760,41,54,24,84.33333333333333,57.416666666666664,126.90783410138249,0.12393343173963134,1
52585,406,127,773,37,40,22,120.0,63.27272727272727,129.51970443349754,0.12648408636083744,1
42592,371,125,775,34,38,38,150.0,41.63157894736842,114.8032345013477,0.11211253369272237,1
42069,365,122,778,36,38,34,149.75,53.0,115.25753424657535,0.11255618578767124,1
42172,365,124,776,34,38,45,150.0,40.13636363636363,115.53972602739726,0.11283176369863014,1
52749,401,127,773,37,42,28,85.57142857142857,60.92857142857143,131.5436408977556,0.12846058681421446,1
50975,384,154,746,39,42,24,66.77777777777777,62.333333333333336,132.74739583333334,0.1296361287434896,1
39778,339,140,760,34,38,20,86.0,67.7,117.33923303834808,0.1145890947640118,1
41702,362,140,760,34,38,24,86.0,57.25,115.1988950276243,0.11249892092541436,1
42495,368,149,751,33,38,36,85.85714285714286,36.666666666666664,115.47554347826087,0.11276908542798914,1
42924,376,149,751,36,38,30,85.85714285714286,61.642857142857146,114.15957446808511,0.11148395944148937,1
65273,466,144,756,41,42,48,100.16666666666667,36.416666666666664,140.07081545064378,0.13678790571351931,1
41681,359,126,774,33,38,20,150.0,74.1,116.10306406685237,0.11338189850278552,1
41672,345,119,781,33,38,18,150.0,90.66666666666667,120.78840579710145,0.11795742753623188,1
40610,349,121,779,32,38,28,150.25,51.357142857142854,116.36103151862464,0.11363381984240688,1
69674,502,138,762,47,54,48,116.0,35.541666666666664,138.79282868525897,0.1355398717629482,1
41821,355,124,776,38,38,28,150.0,58.07142857142857,117.8056338028169,0.11504456426056338,1
41307,358,122,778,35,38,26,150.0,63.76923076923077,115.38268156424581,0.1126783999650838,1
42640,372,130,770,36,38,50,150.0,32.64,114.6236559139785,0.11193716397849462,1
45806,372,127,773,37,40,44,120.0,38.59090909090909,123.13440860215054,0.12024844590053764,1
68315,464,141,759,40,42,40,100.16666666666667,43.5,147.23060344827587,0.1437798861799569,1
40966,353,123,777,34,38,32,150.25,52.6875,116.05099150141643,0.11333104638810199,1
42759,372,137,763,32,38,40,150.25,37.05,114.94354838709677,0.11224955897177419,1
40966,352,126,774,35,38,24,150.25,69.91666666666667,116.38068181818181,0.11365300958806818,1
58160,430,128,772,36,40,38,110.2,39.10526315789474,135.25581395348837,0.1320857558139535,1
53155,409,135,765,39,40,41,120.0,44.0,129.96332518337408,0.12691730974938875,1
40023,341,119,781,33,38,20,150.0,80.3,117.36950146627566,0.11461865377565983,1
40587,349,122,778,34,40,24,119.8,66.75,116.29512893982807,0.11356946185530085,1
42961,372,131,769,32,38,44,150.0,38.5,115.48655913978494,0.11277984290994623,1
54598,421,134,766,36,42,40,115.2,37.4,129.68646080760095,0.1266469343824228,1
54015,422,133,767,39,40,36,75.25,43.166666666666664,127.99763033175356,0.12499768587085308,1
40596,349,115,785,34,38,30,85.85714285714286,56.785714285714285,116.32091690544412,0.11359464541547278,1
41458,356,127,773,34,40,30,75.25,50.93333333333333,116.45505617977528,0.1137256408005618,1
42500,362,122,778,36,38,32,85.85714285714286,48.5625,117.40331491712708,0.11465167472375691,1
70968,499,132,768,49,54,39,94.11111111111111,46.78947368421053,142.22044088176352,0.1388871492985972,1
41860,362,125,775,35,38,28,85.85714285714286,45.785714285714285,115.6353591160221,0.11292515538674033,1
40579,346,120,780,34,40,22,75.125,76.0909090909091,117.28034682080924,0.11453158869219653,1
43357,364,122,778,34,38,42,85.85714285714286,42.333333333333336,119.11263736263736,0.11632093492445054,1
41329,356,126,774,33,38,32,85.85714285714286,50.5,116.09269662921348,0.11337177405196629,1
64974,461,136,764,41,42,38,86.0,39.94736842105263,140.941431670282,0.13763811686550975,1
41604,353,126,774,36,38,28,150.0,61.285714285714285,117.85835694050992,0.11509605169971672,1
44295,361,121,779,35,38,23,150.0,73.54545454545455,122.70083102493075,0.11982503029778394,1
42888,374,130,770,33,38,44,150.0,34.86363636363637,114.67379679144385,0.11198612967914438,1
51487,384,125,775,36,40,32,128.75,52.125,134.08072916666666,0.1309382120768229,1
54740,430,139,761,38,40,38,120.0,45.44444444444444,127.30232558139535,0.1243186773255814,1
42305,351,120,780,32,38,32,150.0,54.875,120.52706552706553,0.11770221242877493,1
39984,340,109,791,33,38,26,150.0,61.53846153846154,117.6,0.11484375,1
41563,360,118,782,34,38,30,150.0,52.2,115.45277777777778,0.11274685329861112,1
57142,458,130,770,43,52,35,113.33333333333333,49.6875,124.76419213973799,0.12184003138646288,1
53682,414,157,743,40,40,40,97.14285714285714,35.55555555555556,129.66666666666666,0.12662760416666666,1
41170,355,147,753,32,38,30,85.85714285714286,46.53333333333333,115.97183098591549,0.1132537411971831,1
40395,347,145,755,34,38,24,85.85714285714286,73.33333333333333,116.41210374639769,0.1136836950648415,1
42578,370,142,758,32,38,32,100.0,52.0,115.07567567567567,0.11237858952702702,1
68652,479,164,736,48,46,26,77.0,52.0,143.32359081419625,0.13996444415448853,1
41590,361,130,770,37,38,36,150.0,49.5,115.20775623268698,0.11250757444598337,1
41233,354,126,774,34,38,36,150.0,49.166666666666664,116.4774011299435,0.11374746204096045,1
40907,351,122,778,34,38,26,149.75,62.69230769230769,116.54415954415954,0.1138126558048433,1
41896,363,121,779,32,38,28,150.0,55.42857142857143,115.4159779614325,0.11271091597796143,1
57415,449,137,763,45,54,24,109.57142857142857,61.0,127.87305122494432,0.12487602658685969,1
53070,406,136,764,38,40,40,75.25,35.05,130.71428571428572,0.12765066964285715,1
41847,362,124,776,34,38,36,120.0,37.611111111111114,115.59944751381215,0.11289008546270718,1
40769,351,122,778,33,38,26,85.85714285714286,66.15384615384616,116.15099715099716,0.11342870815527066,1
42879,375,126,774,34,38,32,85.85714285714286,52.625,114.344,0.1116640625,1
320159,1133,214,686,65,50,29,55.18181818181818,49.57142857142857,282.57634598411295,0.2759534628751103,1
74059,476,146,754,43,42,36,109.42857142857143,41.888888888888886,155.5861344537815,0.151939584427521,1
42278,367,132,768,34,38,36,150.0,41.666666666666664,115.19891008174388,0.112498935626703,1
40612,348,126,774,33,38,22,150.0,66.45454545454545,116.70114942528735,0.11396596623563218,1
44913,367,127,773,33,38,22,150.0,64.0,122.37874659400545,0.11951049472070845,1
64882,461,130,770,46,54,20,73.55555555555556,67.6,140.7418655097614,0.13744322803687636,1
42137,365,122,778,36,38,30,86.14285714285714,50.4,115.44383561643835,0.11273812071917808,1
48378,376,121,779,36,40,30,75.125,46.733333333333334,128.66489361702128,0.12564931017287234,1
42145,368,120,780,33,38,19,86.0,70.88888888888889,114.52445652173913,0.11184028957201086,1
42307,365,130,770,33,38,38,85.71428571428571,39.63157894736842,115.90958904109588,0.1131929580479452,1
56744,436,139,761,41,44,34,83.71428571428571,44.375,130.14678899082568,0.1270964736238532,1
53695,417,140,760,39,42,30,121.5,45.6,128.76498800959232,0.1257470586031175,1
40948,351,122,778,33,38,20,150.0,88.3,116.66096866096866,0.11392672720797721,1
35796,307,105,795,34,38,28,150.0,33.214285714285715,116.59934853420195,0.11386655130293159,1
27154,224,77,823,27,24,24,150.0,47.63636363636363,121.22321428571429,0.11838204520089286,1
68147,502,151,749,47,54,50,75.375,32.28,135.75099601593627,0.13256933204681276,1
28539,227,81,819,27,18,13,40.333333333333336,69.57142857142857,125.72246696035242,0.12277584664096916,1
42570,372,120,780,35,42,32,66.66666666666667,47.25,114.43548387096774,0.11175340221774194,1
41655,351,118,782,33,38,24,85.85714285714286,66.91666666666667,118.67521367521367,0.11589376335470085,1
54446,425,124,776,41,52,26,70.55555555555556,67.07692307692308,128.10823529411763,0.12510569852941175,1
53680,409,152,748,39,40,34,119.8,46.470588235294116,131.24694376528117,0.1281708435207824,1
40903,353,129,771,34,38,25,150.25,70.0,115.87252124645893,0.11315675902974505,1
41468,358,136,764,34,40,26,120.0,67.84615384615384,115.83240223463687,0.11311758030726257,1
41543,359,132,768,33,38,26,150.0,62.53846153846154,115.71866295264624,0.1130065067896936,1
44627,378,137,763,33,38,24,150.0,63.916666666666664,118.06084656084656,0.11529379546957672,1
70150,480,140,760,43,44,30,75.125,54.6,146.14583333333334,0.14272054036458334,1
46459,382,130,770,35,38,46,85.85714285714286,36.0,121.62041884816755,0.11876994028141362,1
41035,354,121,779,35,38,29,85.85714285714286,60.714285714285715,115.9180790960452,0.11320124911723164,1
43601,381,130,770,35,40,46,75.125,39.27272727272727,114.43832020997375,0.1117561720800525,1
64653,452,134,766,40,42,32,82.57142857142857,43.5625,143.03761061946904,0.13968516662057523,1
41955,365,122,778,35,38,24,150.25,68.5,114.94520547945206,0.1122511772260274,1
