nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
172301,585,18,882,48,0,0,0,0,294.5316239316239,0.2876285389957265,12
253481,894,20,880,77,4,0,0.0,0,283.5357941834452,0.2768904240072707,12
149358,503,15,885,38,0,0,0,0,296.934393638171,0.28997499378727637,12
217431,795,17,883,66,4,0,0.0,0,273.4981132075472,0.2670880011792453,12
171070,648,17,883,55,0,0,0,0,263.99691358024694,0.2578094859182099,12
140127,470,15,885,41,4,0,0.0,0,298.14255319148936,0.2911548371010638,12
196308,734,15,885,59,0,0,0,0,267.449591280654,0.26118124148501365,12
146039,483,16,884,41,4,0,0.0,0,302.3581780538302,0.29527165825569357,12
196074,728,19,881,62,0,0,0,0,269.3324175824176,0.26301993904532966,12
177179,662,17,883,57,4,0,0.0,0,267.6419939577039,0.2613691347243202,12
164674,567,17,883,47,0,0,0,0,290.4303350970018,0.2836233741181658,12
134765,523,15,885,46,4,0,0.0,0,257.67686424474186,0.2516375627390057,12
190152,624,15,885,52,0,0,0,0,304.7307692307692,0.2975886418269231,12
204142,773,20,880,67,4,0,0.0,0,264.09055627425613,0.25790093386157825,12
165480,618,12,888,52,0,0,0,0,267.7669902912621,0.26149120145631066,12
180399,614,16,884,54,4,0,0.0,0,293.80944625407164,0.28692328735749184,12
181934,677,19,881,58,0,0,0,0,268.73559822747416,0.26243710764401773,12
212327,771,18,882,65,4,0,0.0,0,275.3916990920882,0.26893720614461736,12
149366,503,16,884,41,0,0,0,0,296.9502982107356,0.28999052559642147,12
186876,690,17,883,58,0,0,0,0,270.83478260869566,0.26448709239130436,12
185357,627,16,884,53,4,0,0.0,0,295.6251993620415,0.28869648375199364,12
188877,696,17,883,53,0,0,0,0,271.375,0.2650146484375,12
167001,629,16,884,54,4,0,0.0,0,265.5023847376789,0.25927967259538953,12
195044,636,16,884,52,0,0,0,0,306.67295597484275,0.2994853085691824,12
135889,525,16,884,49,4,0,0.0,0,258.8361904761905,0.2527697172619048,12
159494,540,13,887,44,0,0,0,0,295.35925925925926,0.28843677662037037,12
173690,657,18,882,58,4,0,0.0,0,264.3683409436834,0.2581722079528158,12
145804,568,16,884,49,0,0,0,0,256.69718309859155,0.2506808428697183,12
150343,528,17,883,45,4,0,0.0,0,284.7405303030303,0.27806692412405304,12
150432,576,17,883,49,0,0,0,0,261.1666666666667,0.2550455729166667,12
124137,445,13,887,39,4,0,0.0,0,278.95955056179776,0.2724214360955056,12
166326,627,19,881,50,0,0,0,0,265.27272727272725,0.2590553977272727,12
152962,594,14,886,54,4,0,0.0,0,257.5117845117845,0.2514763520622896,12
179362,596,12,888,47,0,0,0,0,300.9429530201342,0.2938896025587248,12
208067,754,20,880,64,4,0,0.0,0,275.95092838196285,0.2694833284980106,12
153796,530,13,887,45,0,0,0,0,290.1811320754717,0.2833800117924528,12
212357,780,19,881,66,4,0,0.0,0,272.2525641025641,0.2658716446314103,12
165974,625,20,880,52,0,0,0,0,265.5584,0.259334375,12
165679,574,16,884,48,4,0,0.0,0,288.63937282229966,0.281874387521777,12
185972,680,14,886,54,0,0,0,0,273.48823529411766,0.2670783547794118,12
156649,528,15,885,44,0,0,0,0,296.6837121212121,0.2897301876183712,12
192467,715,19,881,61,4,0,0.0,0,269.18461538461537,0.26287560096153845,12
199125,718,16,884,60,0,0,0,0,277.33286908078,0.2708328799616992,12
185217,625,17,883,53,4,0,0.0,0,296.3472,0.2894015625,12
165972,622,15,885,51,0,0,0,0,266.8360128617363,0.2605820438102894,12
166377,623,17,883,55,4,0,0.0,0,267.0577849117175,0.2607986180778491,12
187606,615,20,880,51,0,0,0,0,305.05040650406505,0.297900787601626,12
445505,2569,28,872,220,4,0,0.0,0,173.4157259634099,0.16935129488614248,12
133142,468,12,888,37,0,0,0,0,284.491452991453,0.2778236845619658,12
191967,711,17,883,60,4,0,0.0,0,269.9957805907173,0.26366775448312235,12
171070,648,16,884,54,0,0,0,0,263.99691358024694,0.2578094859182099,12
243479,812,28,872,67,12,0,103.0,0,299.8509852216749,0.29282322775554187,12
161220,612,17,883,53,0,0,0,0,263.4313725490196,0.25725719975490197,12
159495,557,15,885,49,4,0,0.0,0,286.34649910233395,0.279635253029623,12
160648,598,14,886,52,0,0,0,0,268.6421404682274,0.26234584030100333,12
172049,654,19,881,56,4,0,0.0,0,263.07186544342505,0.2569061185970948,12
222569,728,16,884,58,0,0,0,0,305.72664835164835,0.2985611800309066,12
216675,786,15,885,65,4,0,0.0,0,275.6679389312977,0.26920697161259544,12
220854,724,16,884,59,0,0,0,0,305.04696132596683,0.2978974231698895,12
191057,701,20,880,59,4,0,0.0,0,272.54921540656204,0.26616134317047074,12
