nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
186898,1651,798,102,2,0,0,0,0,113.20290732889158,0.11054971418837069,5
190858,1690,814,86,2,0,0,0,0,112.9337278106509,0.11028684356508876,5
187978,1664,804,96,2,0,0,0,0,112.96754807692308,0.1103198711688702,5
187568,1656,791,109,2,0,0,0,0,113.26570048309179,0.11061103562801933,5
190000,1677,803,97,2,0,0,0,0,113.29755515802027,0.11064214370900417,5
191900,1686,807,93,2,0,0,0,0,113.81969157769869,0.11115204255634638,5
186226,1647,796,104,2,0,0,0,0,113.06982392228294,0.11041974992410443,5
191438,1694,816,84,2,0,0,0,0,113.00944510035418,0.11036078623081463,5
190036,1683,808,92,2,0,0,0,0,112.91503267973856,0.11026858660130719,5
188532,1661,794,106,2,0,0,0,0,113.50511739915713,0.11084484121011438,5
188776,1672,809,91,2,0,0,0,0,112.90430622009569,0.1102581115430622,5
184938,1636,795,105,2,0,0,0,0,113.04278728606357,0.11039334695904646,5
185888,1643,792,108,2,0,0,0,0,113.13937918441874,0.11048767498478393,5
192962,1705,813,87,2,0,0,0,0,113.1741935483871,0.11052167338709677,5
193278,1707,814,86,2,0,0,0,0,113.22671353251319,0.11057296243409491,5
186062,1643,799,101,2,0,0,0,0,113.24528301886792,0.1105910966981132,5
189808,1677,802,98,2,0,0,0,0,113.18306499701849,0.11053033691115087,5
188864,1669,796,104,2,0,0,0,0,113.15997603355302,0.11050778909526662,5
187498,1658,797,103,2,0,0,0,0,113.08685162846804,0.11043637854342582,5
191852,1697,816,84,2,0,0,0,0,113.05362404242781,0.11040392972893341,5
189450,1671,806,94,4,0,0,0,0,113.37522441651706,0.11071799259425494,5
192000,1699,809,91,2,0,0,0,0,113.00765155974102,0.11035903472630959,5
191660,1695,815,85,2,0,0,0,0,113.07374631268436,0.11042358038348082,5
190964,1687,813,87,2,0,0,0,0,113.19739181979845,0.11054432794902193,5
190568,1688,817,83,2,0,0,0,0,112.89573459715639,0.11024974081753554,5
190914,1687,799,101,2,0,0,0,0,113.16775340841731,0.11051538418790753,5
191684,1694,796,104,2,0,0,0,0,113.15466351829988,0.11050260109208973,5
194748,1726,828,72,2,0,0,0,0,112.83198146002317,0.11018748189455388,5
205100,1818,865,35,2,0,0,0,0,112.81628162816281,0.11017215002750275,5
205936,1827,871,29,2,0,0,0,0,112.71811713191023,0.11007628626163109,5
211634,1864,867,33,2,0,0,0,0,113.53755364806867,0.11087651723444206,5
187068,1656,814,86,2,0,0,0,0,112.96376811594203,0.11031617980072464,5
190658,1688,818,82,2,0,0,0,0,112.94905213270142,0.11030180872334124,5
187204,1655,816,84,2,0,0,0,0,113.1141993957704,0.11046308534743203,5
191418,1697,816,84,2,0,0,0,0,112.79787860931054,0.11015417832940483,5
185684,1644,799,101,2,0,0,0,0,112.94647201946472,0.11029928908150852,5
197528,1736,812,88,2,0,0,0,0,113.78341013824885,0.11111661146313365,5
186868,1656,810,90,2,0,0,0,0,112.84299516908213,0.11019823746980677,5
197738,1746,821,79,2,0,0,0,0,113.25200458190149,0.11059766072451317,5
203486,1791,818,82,2,0,0,0,0,113.61585706309324,0.110952985413177,5
269776,2297,833,67,2,0,0,0,0,117.44710491946016,0.11469443839791031,5
277018,2368,832,68,2,0,0,0,0,116.98395270270271,0.11424214131123311,5
401002,3320,858,42,2,0,0,0,0,120.78373493975904,0.11795286615210844,5
552502,4091,871,29,2,0,0,0,0,135.0530432657052,0.13188773756416525,5
821234,5300,875,25,4,0,0,0,0,154.94981132075472,0.15131817511792453,5
516652,3532,865,35,2,0,0,0,0,146.27746319365798,0.14284908515005662,5
