nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
3138,30,16,884,2,0,0,0,0,104.6,0.1021484375,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
2278,22,12,888,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
3150,30,18,882,2,0,0,0,0,105.0,0.1025390625,21
3948,35,19,881,2,0,0,0,0,112.8,0.11015625,21
2278,22,12,888,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2889,26,15,885,2,0,0,0,0,111.11538461538461,0.10851111778846154,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2714,26,14,886,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2969,24,15,885,4,0,0,0,0,123.70833333333333,0.12080891927083333,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2453,22,12,888,2,0,0,0,0,111.5,0.10888671875,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2278,22,14,886,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
3313,30,17,883,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2060,20,11,889,2,0,0,0,0,103.0,0.1005859375,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3313,30,16,884,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2714,26,17,883,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2453,22,11,889,2,0,0,0,0,111.5,0.10888671875,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2702,26,15,885,2,0,0,0,0,103.92307692307692,0.1014873798076923,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2969,24,14,886,4,0,0,0,0,123.70833333333333,0.12080891927083333,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2060,20,11,889,2,0,0,0,0,103.0,0.1005859375,21
2671,24,14,886,2,0,0,0,0,111.29166666666667,0.10868326822916667,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2714,26,16,884,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3095,28,15,885,2,0,0,0,0,110.53571428571429,0.10794503348214286,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
2671,24,13,887,2,0,0,0,0,111.29166666666667,0.10868326822916667,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
3313,30,16,884,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
3405,28,16,884,4,0,0,0,0,121.60714285714286,0.11875697544642858,21
2496,24,15,885,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
3531,32,17,883,2,0,0,0,0,110.34375,0.107757568359375,21
2278,22,12,888,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2453,22,13,887,2,0,0,0,0,111.5,0.10888671875,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
3804,36,20,880,2,0,0,0,0,105.66666666666667,0.10319010416666667,21
3313,30,17,883,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
11065,62,19,881,7,4,0,0.5,0,178.46774193548387,0.17428490423387097,21
2060,20,13,887,2,0,0,0,0,103.0,0.1005859375,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
3313,30,17,883,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2969,24,14,886,4,0,0,0,0,123.70833333333333,0.12080891927083333,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2060,20,12,888,2,0,0,0,0,103.0,0.1005859375,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2453,22,11,889,2,0,0,0,0,111.5,0.10888671875,21
2932,28,17,883,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3138,30,17,883,2,0,0,0,0,104.6,0.1021484375,21
3325,30,15,885,2,0,0,0,0,110.83333333333333,0.10823567708333333,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3543,32,17,883,2,0,0,0,0,110.71875,0.108123779296875,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3187,26,16,884,4,0,0,0,0,122.57692307692308,0.1197040264423077,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3095,28,15,885,2,0,0,0,0,110.53571428571429,0.10794503348214286,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2060,20,12,888,2,0,0,0,0,103.0,0.1005859375,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2060,20,12,888,2,0,0,0,0,103.0,0.1005859375,21
2278,22,14,886,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2671,24,12,888,2,0,0,0,0,111.29166666666667,0.10868326822916667,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,15,885,2,0,0,0,0,104.0,0.1015625,21
2932,28,15,885,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2702,26,15,885,2,0,0,0,0,103.92307692307692,0.1014873798076923,21
2889,26,14,886,2,0,0,0,0,111.11538461538461,0.10851111778846154,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3150,30,16,884,2,0,0,0,0,105.0,0.1025390625,21
3405,28,16,884,4,0,0,0,0,121.60714285714286,0.11875697544642858,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3313,30,17,883,2,0,0,0,0,110.43333333333334,0.10784505208333334,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2714,26,16,884,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2889,26,13,887,2,0,0,0,0,111.11538461538461,0.10851111778846154,21
3150,30,18,882,2,0,0,0,0,105.0,0.1025390625,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3531,32,17,883,2,0,0,0,0,110.34375,0.107757568359375,21
2932,28,15,885,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3543,32,17,883,2,0,0,0,0,110.71875,0.108123779296875,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2969,24,15,885,4,0,0,0,0,123.70833333333333,0.12080891927083333,21
3150,30,17,883,2,0,0,0,0,105.0,0.1025390625,21
3325,30,15,885,2,0,0,0,0,110.83333333333333,0.10823567708333333,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2278,22,14,886,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2920,28,16,884,2,0,0,0,0,104.28571428571429,0.10184151785714286,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
3405,28,16,884,4,0,0,0,0,121.60714285714286,0.11875697544642858,21
2453,22,13,887,2,0,0,0,0,111.5,0.10888671875,21
2932,28,15,885,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
8617,31,20,880,3,0,0,0,0,277.96774193548384,0.27145287298387094,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
1750,17,11,889,2,0,0,0,0,102.94117647058823,0.10052849264705882,21
1454,14,8,892,2,0,0,0,0,103.85714285714286,0.10142299107142858,21
4407,29,18,882,3,0,0,0,0,151.9655172413793,0.14840382543103448,21
1594,15,9,891,2,0,0,0,0,106.26666666666667,0.10377604166666667,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
8536,43,21,879,5,0,0,0,0,198.51162790697674,0.19385901162790697,21
7432,41,26,874,5,0,0,0,0,181.26829268292684,0.17701981707317074,21
2714,26,14,886,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
4185,38,21,879,2,0,0,0,0,110.13157894736842,0.10755037006578948,21
2278,22,13,887,2,0,0,0,0,103.54545454545455,0.10111860795454546,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
12207,73,24,876,7,6,0,2.3333333333333335,0,167.21917808219177,0.1632999785958904,21
2496,24,15,885,2,0,0,0,0,104.0,0.1015625,21
2932,28,16,884,2,0,0,0,0,104.71428571428571,0.10226004464285714,21
2714,26,14,886,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
3095,28,15,885,2,0,0,0,0,110.53571428571429,0.10794503348214286,21
3841,32,18,882,4,0,0,0,0,120.03125,0.117218017578125,21
2714,26,15,885,2,0,0,0,0,104.38461538461539,0.10193810096153846,21
3368,32,18,882,2,0,0,0,0,105.25,0.102783203125,21
2496,24,14,886,2,0,0,0,0,104.0,0.1015625,21
2496,24,13,887,2,0,0,0,0,104.0,0.1015625,21
3543,32,17,883,2,0,0,0,0,110.71875,0.108123779296875,21
