nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
7949,110,54,846,8,6,2,90.0,0.0,72.26363636363637,0.07056995738636364,2
6314,102,51,849,4,0,2,0,0.0,61.90196078431372,0.06045113357843137,2
13575,127,55,845,8,0,4,0,10.0,106.88976377952756,0.10438453494094488,2
7710,104,52,848,4,0,2,0,0.0,74.13461538461539,0.07239708533653846,2
7708,104,52,848,6,2,2,0.0,0.0,74.11538461538461,0.07237830528846154,2
6134,100,50,850,2,0,0,0,0,61.34,0.05990234375,2
7006,102,49,851,2,0,0,0,0,68.68627450980392,0.0670764399509804,2
14011,131,57,843,8,0,4,0,23.0,106.95419847328245,0.10444745944656489,2
7823,106,94,806,7,4,4,2.0,230.5,73.80188679245283,0.07207215507075472,2
15089,114,73,827,6,0,2,0,0.0,132.359649122807,0.12925746984649122,2
13393,126,51,849,5,0,0,0,0,106.2936507936508,0.10380239335317461,2
6177,101,50,850,2,0,0,0,0,61.15841584158416,0.05972501547029703,2
8302,108,53,847,10,4,4,0.0,315.5,76.87037037037037,0.07506872106481481,2
7786,102,51,849,6,0,2,0,0.0,76.33333333333333,0.07454427083333333,2
7143,103,51,849,4,0,2,0,0.0,69.3495145631068,0.06772413531553398,2
12773,121,51,849,4,0,0,0,0,105.56198347107438,0.10308787448347108,2
7224,105,55,845,6,1,2,0,0.0,68.8,0.0671875,2
14115,129,68,832,9,3,4,2.0,109.5,109.4186046511628,0.10685410610465117,2
13705,127,70,830,5,0,0,0,0,107.91338582677166,0.1053841658464567,2
6752,100,51,849,4,0,2,0,0.0,67.52,0.0659375,2
7354,104,58,842,2,0,0,0,0,70.71153846153847,0.06905423677884616,2
14264,134,56,844,9,4,2,2.5,0.0,106.44776119402985,0.10395289179104478,2
6932,102,51,849,5,0,4,0,134.0,67.96078431372548,0.06636795343137254,2
6494,104,52,848,5,0,4,0,109.0,62.44230769230769,0.06097881610576923,2
6752,100,49,851,4,0,2,0,0.0,67.52,0.0659375,2
