nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1722,9,3,897,4,0,0,0,0,191.33333333333334,0.18684895833333334,20
11298,44,11,889,10,10,0,1.3333333333333333,0,256.77272727272725,0.2507546164772727,20
1110,10,5,895,3,0,0,0,0,111.0,0.1083984375,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9980,51,15,885,10,12,0,2.5,0,195.68627450980392,0.1910998774509804,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
11257,48,15,885,10,10,0,0.0,0,234.52083333333334,0.22902425130208334,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
12110,51,15,885,10,10,0,0.0,0,237.45098039215685,0.23188572303921567,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11127,44,14,886,9,10,0,0.0,0,252.88636363636363,0.24695933948863635,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11539,44,15,885,10,10,0,0.0,0,262.25,0.256103515625,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
5158,33,13,887,10,10,0,1.5,0,156.3030303030303,0.15263967803030304,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
8989,46,12,888,10,12,0,2.5,0,195.41304347826087,0.19083305027173914,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
10915,53,14,886,12,10,0,0.0,0,205.9433962264151,0.2011165978773585,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10659,50,14,886,10,10,0,0.5,0,213.18,0.20818359375,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
12524,55,14,886,10,10,0,0.0,0,227.70909090909092,0.2223721590909091,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
9958,41,9,891,9,10,0,0.0,0,242.8780487804878,0.23718559451219512,20
1701,16,7,893,4,0,0,0,0,106.3125,0.10382080078125,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
12523,52,14,886,9,10,0,0.0,0,240.82692307692307,0.23518254206730768,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11868,51,15,885,10,10,0,0.0,0,232.7058823529412,0.22725183823529413,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
12626,48,17,883,10,10,0,0.0,0,263.0416666666667,0.2568766276041667,20
1566,9,2,898,2,0,0,0,0,174.0,0.169921875,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
9731,47,14,886,10,10,0,0.0,0,207.04255319148936,0.20218999335106383,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
2230,11,4,896,4,0,0,0,0,202.72727272727272,0.19797585227272727,20
10607,38,9,891,9,10,0,0.0,0,279.13157894736844,0.2725894325657895,20
1660,15,6,894,4,0,0,0,0,110.66666666666667,0.10807291666666667,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
11125,46,12,888,10,10,0,0.5,0,241.84782608695653,0.2361795176630435,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10744,52,15,885,9,10,0,0.0,0,206.6153846153846,0.20177283653846154,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11272,48,15,885,10,10,0,0.0,0,234.83333333333334,0.22932942708333334,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11754,51,14,886,10,12,0,2.5,0,230.47058823529412,0.2250689338235294,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
12229,41,10,890,10,10,0,0.0,0,298.2682926829268,0.2912776295731707,20
1491,13,6,894,4,0,0,0,0,114.6923076923077,0.11200420673076923,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
13047,57,13,887,10,10,0,0.0,0,228.89473684210526,0.22353001644736842,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10872,51,15,885,11,10,0,0.0,0,213.1764705882353,0.20818014705882354,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10205,51,13,887,10,10,0,0.0,0,200.09803921568627,0.19540824142156862,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
10781,52,13,887,10,10,0,0.5,0,207.32692307692307,0.20246769831730768,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11969,49,12,888,10,12,0,2.5,0,244.26530612244898,0.23854033801020408,20
1491,13,5,895,4,0,0,0,0,114.6923076923077,0.11200420673076923,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
12469,55,19,881,10,12,0,2.0,0,226.70909090909092,0.2213955965909091,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
12521,46,12,888,10,10,0,0.0,0,272.19565217391306,0.265816066576087,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9208,42,14,886,9,10,0,0.5,0,219.23809523809524,0.21409970238095238,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
28824,104,32,868,12,10,0,0.5,0,277.15384615384613,0.27065805288461536,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1722,9,3,897,4,0,0,0,0,191.33333333333334,0.18684895833333334,20
10226,44,12,888,10,10,0,1.6666666666666667,0,232.4090909090909,0.2269620028409091,20
1557,14,5,895,4,0,0,0,0,111.21428571428571,0.10860770089285714,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
4330,34,10,890,10,12,0,1.6666666666666667,0,127.3529411764706,0.12436810661764706,20
11101,55,16,884,10,10,0,0.5,0,201.83636363636364,0.19710582386363637,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
10647,50,11,889,10,10,0,0.5,0,212.94,0.20794921875,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
9694,47,15,885,10,10,0,0.5,0,206.25531914893617,0.20142121010638298,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
12686,45,16,884,9,10,0,1.0,0,281.9111111111111,0.27530381944444443,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,1,899,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9665,40,10,890,10,10,0,0.5,0,241.625,0.2359619140625,20
1515,11,6,894,3,0,0,0,0,137.72727272727272,0.13449928977272727,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10305,48,14,886,10,10,0,0.5,0,214.6875,0.20965576171875,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11681,55,17,883,12,10,0,0.5,0,212.38181818181818,0.2074041193181818,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
9637,45,15,885,10,10,0,0.5,0,214.15555555555557,0.20913628472222223,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9652,44,15,885,9,10,0,1.0,0,219.36363636363637,0.21422230113636365,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9806,41,10,890,10,10,0,0.5,0,239.17073170731706,0.23356516768292682,20
1618,12,6,894,3,0,0,0,0,134.83333333333334,0.13167317708333334,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10097,43,13,887,9,10,0,0.5,0,234.8139534883721,0.22931050145348839,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
11257,48,20,880,10,10,0,1.0,0,234.52083333333334,0.22902425130208334,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10202,49,16,884,10,10,0,0.5,0,208.20408163265307,0.20332429846938777,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
11360,49,17,883,10,10,0,1.0,0,231.83673469387756,0.2264030612244898,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1722,9,3,897,4,0,0,0,0,191.33333333333334,0.18684895833333334,20
9093,37,9,891,9,10,0,0.0,0,245.75675675675674,0.23999683277027026,20
1660,15,6,894,4,0,0,0,0,110.66666666666667,0.10807291666666667,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11115,44,13,887,9,10,0,2.5,0,252.61363636363637,0.24669300426136365,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
10157,51,13,887,10,10,0,0.0,0,199.15686274509804,0.1944891237745098,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
12563,55,16,884,10,10,0,0.0,0,228.4181818181818,0.22306463068181817,20
9285,42,9,891,10,10,0,0.0,0,221.07142857142858,0.21589006696428573,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
9628,46,14,886,10,10,0,0.0,0,209.30434782608697,0.20439877717391305,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
11385,44,9,891,10,10,0,2.0,0,258.75,0.252685546875,20
10370,44,11,889,11,10,0,0.0,0,235.6818181818182,0.23015802556818182,20
3725,24,10,890,4,0,0,0,0,155.20833333333334,0.15157063802083334,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
11116,47,16,884,10,10,0,0.0,0,236.51063829787233,0.23096742021276595,20
11104,48,13,887,10,10,0,0.0,0,231.33333333333334,0.22591145833333334,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
12290,49,14,886,11,10,0,0.0,0,250.81632653061226,0.24493781887755103,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11050,46,15,885,10,10,0,0.0,0,240.2173913043478,0.23458729619565216,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
9993,50,17,883,10,10,0,0.5,0,199.86,0.19517578125,20
11113,47,12,888,10,10,0,0.0,0,236.4468085106383,0.23090508643617022,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
9091,39,9,891,10,10,0,1.5,0,233.10256410256412,0.22763922275641027,20
1660,15,6,894,4,0,0,0,0,110.66666666666667,0.10807291666666667,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1016,4,2,898,1,0,0,0,0,254.0,0.248046875,20
11182,48,12,888,10,10,0,0.0,0,232.95833333333334,0.22749837239583334,20
807,6,2,898,2,0,0,0,0,134.5,0.13134765625,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11692,48,15,885,9,10,0,1.3333333333333333,0,243.58333333333334,0.23787434895833334,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11127,44,9,891,9,10,0,0.0,0,252.88636363636363,0.24695933948863635,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
8672273,33663,6945,-6045,4211,7578,0,-183.23011664899258,0,257.62032498588957,0.2515823486190328,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
2230,11,4,896,4,0,0,0,0,202.72727272727272,0.19797585227272727,20
9411,43,10,890,10,14,0,3.3333333333333335,0,218.86046511627907,0.21373092296511628,20
1763,16,8,892,4,0,0,0,0,110.1875,0.10760498046875,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1566,9,2,898,2,0,0,0,0,174.0,0.169921875,20
11800,52,12,888,10,10,0,0.0,0,226.92307692307693,0.22160456730769232,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
11348,54,15,885,10,12,0,2.5,0,210.14814814814815,0.20522280092592593,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11469,49,13,887,9,10,0,0.0,0,234.0612244897959,0.2285754145408163,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
4093,32,13,887,10,10,0,2.0,0,127.90625,0.124908447265625,20
11800,52,13,887,10,10,0,0.0,0,226.92307692307693,0.22160456730769232,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
11103,42,9,891,10,10,0,0.0,0,264.35714285714283,0.25816127232142855,20
1007,9,5,895,3,0,0,0,0,111.88888888888889,0.10926649305555555,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
11765,50,13,887,10,10,0,0.0,0,235.3,0.22978515625,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
10488,50,14,886,12,10,0,0.0,0,209.76,0.20484375,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
508,2,1,899,1,0,0,0,0,254.0,0.248046875,20
11734,51,12,888,10,10,0,0.0,0,230.07843137254903,0.22468596813725492,20
1058,7,2,898,2,0,0,0,0,151.14285714285714,0.14760044642857142,20
1566,9,3,897,2,0,0,0,0,174.0,0.169921875,20
