nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
147383,457,75,825,17,0,0,0,0,322.5010940919037,0.31494247469912473,4
149674,468,76,824,20,0,0,0,0,319.8162393162393,0.31232054620726496,4
149176,465,76,824,20,0,0,0,0,320.80860215053764,0.3132896505376344,4
149716,469,76,824,20,0,0,0,0,319.2238805970149,0.31174207089552236,4
145370,448,77,823,18,0,0,0,0,324.48660714285717,0.31688145228794645,4
150079,492,81,819,29,12,0,7.0,0,305.0386178861789,0.29788927527947157,4
150525,474,78,822,24,4,2,0.0,0.0,317.5632911392405,0.31012040150316456,4
148158,472,76,824,25,8,0,2.5,0,313.89406779661016,0.3065371755826271,4
160064,565,93,807,41,32,0,78.1,0,283.2991150442478,0.27665929203539824,4
161289,565,84,816,39,24,0,94.42857142857143,0,285.46725663716813,0.2787766178097345,4
163449,559,84,816,37,18,0,165.25,0,292.3953488372093,0.28554233284883723,4
156122,538,84,816,37,24,0,100.0,0,290.18959107806694,0.28338827253717475,4
157226,543,86,814,39,24,0,85.85714285714286,0,289.55064456721914,0.28276430133517494,4
165073,557,84,816,35,12,0,60.0,0,296.3608617594255,0.289414904061939,4
146767,450,71,829,19,0,0,0,0,326.1488888888889,0.31850477430555557,4
162427,537,78,822,31,6,0,0.5,0,302.4711359404097,0.29538196869180633,4
140422,426,76,824,16,0,0,0,0,329.62910798122067,0.3219034257629108,4
152726,482,79,821,22,0,0,0,0,316.8589211618257,0.30943254019709543,4
142452,434,77,823,17,0,0,0,0,328.2304147465438,0.32053751440092165,4
144490,445,74,826,18,0,0,0,0,324.69662921348316,0.31708655196629215,4
160054,517,79,821,24,0,0,0,0,309.58220502901355,0.30232637209864605,4
143299,438,64,836,17,0,0,0,0,327.1666666666667,0.3194986979166667,4
144142,442,56,844,18,0,0,0,0,326.1131221719457,0.3184698458710407,4
145108,446,55,845,18,0,0,0,0,325.3542600896861,0.31772876961883406,4
140484,423,60,840,16,0,0,0,0,332.11347517730496,0.3243295656028369,4
152235,485,75,825,27,6,0,0.5,0,313.88659793814435,0.3065298807989691,4
157261,524,79,821,33,12,0,60.0,0,300.11641221374043,0.2930824338024809,4
153177,518,85,815,33,18,0,48.0,0,295.7084942084942,0.2887778263754826,4
159508,515,75,825,24,0,0,0,0,309.7242718446602,0.302465109223301,4
144846,444,76,824,18,0,0,0,0,326.22972972972974,0.3185837204391892,4
144541,445,73,827,21,4,2,0.0,0.0,324.8112359550562,0.31719847261235956,4
148934,463,71,829,20,0,0,0,0,321.67170626349895,0.3141325256479482,4
149582,465,72,828,20,0,0,0,0,321.68172043010753,0.3141423051075269,4
152403,478,75,825,21,0,0,0,0,318.8347280334728,0.3113620390951883,4
144978,446,78,822,18,0,0,0,0,325.0627802690583,0.31744412135650224,4
159378,511,76,824,24,0,0,0,0,311.89432485322897,0.3045843016144814,4
149920,466,78,822,22,0,0,0,0,321.7167381974249,0.31417650214592274,4
145454,451,82,818,18,0,0,0,0,322.5144124168514,0.3149554808758315,4
154742,496,74,826,22,0,0,0,0,311.97983870967744,0.3046678112399194,4
