nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
17070,244,120,780,8,4,4,299.5,299.5,69.95901639344262,0.06831935194672131,0
16966,243,118,782,6,2,2,0.0,0.0,69.81893004115226,0.06818254886831275,0
17280,243,115,785,8,4,4,300.0,300.0,71.11111111111111,0.06944444444444445,0
17010,236,115,785,6,2,2,0.0,0.0,72.07627118644068,0.07038698358050847,0
17808,250,123,777,8,4,4,300.0,299.5,71.232,0.0695625,0
17565,241,119,781,8,2,2,0.0,0.0,72.88381742738589,0.07117560295643154,0
17826,248,113,787,8,4,4,299.5,299.5,71.87903225806451,0.07019436743951613,0
17060,242,120,780,6,2,2,0.0,0.0,70.49586776859505,0.0688436208677686,0
17760,247,119,781,8,4,4,299.5,299.5,71.90283400809717,0.0702176113360324,0
16438,236,117,783,6,2,2,0.0,0.0,69.65254237288136,0.06802006091101695,0
17202,244,118,782,8,4,4,299.5,299.5,70.5,0.06884765625,0
17436,246,122,778,6,2,2,0.0,0.0,70.8780487804878,0.06921684451219512,0
18106,248,120,780,8,4,4,299.5,299.5,73.00806451612904,0.07129693800403226,0
16930,240,117,783,6,2,2,0.0,0.0,70.54166666666667,0.06888834635416667,0
17532,245,115,785,8,4,4,299.5,299.5,71.55918367346939,0.06988201530612245,0
16682,240,119,781,6,2,2,0.0,0.0,69.50833333333334,0.06787923177083334,0
17376,247,121,779,8,4,4,299.5,299.5,70.34817813765183,0.06869939271255061,0
16168,236,119,781,6,2,2,0.0,0.0,68.50847457627118,0.06690280720338983,0
17124,245,120,780,8,4,4,299.5,299.5,69.89387755102041,0.06825573979591837,0
16544,240,114,786,6,2,2,0.0,0.0,68.93333333333334,0.06731770833333334,0
17300,246,120,780,8,4,4,300.0,300.0,70.32520325203252,0.06867695630081301,0
16838,238,112,788,6,2,2,0.0,0.0,70.74789915966386,0.06908974527310924,0
18184,247,121,779,8,4,4,299.5,299.5,73.61943319838056,0.07189397773279352,0
17444,244,116,784,6,2,2,0.0,0.0,71.49180327868852,0.06981621413934426,0
17976,251,119,781,10,6,5,201.66666666666666,300.0,71.61752988047809,0.06993899402390438,0
17114,243,120,780,6,2,2,0.0,0.0,70.42798353909465,0.06877732767489712,0
18196,252,125,775,8,4,4,300.0,300.0,72.2063492063492,0.07051401289682539,0
16490,239,119,781,6,2,2,0.0,0.0,68.99581589958159,0.06737872646443514,0
17046,244,117,783,10,6,5,201.66666666666666,299.5,69.86065573770492,0.06822329661885246,0
16982,243,119,781,6,2,2,0.0,0.0,69.88477366255144,0.06824684927983539,0
17148,243,121,779,8,4,4,299.5,299.5,70.5679012345679,0.06891396604938271,0
17934,248,120,780,6,2,2,0.0,0.0,72.31451612903226,0.07061964465725806,0
17126,243,114,786,8,4,4,299.5,299.5,70.47736625514403,0.0688255529835391,0
17342,247,118,782,6,2,2,0.0,0.0,70.21052631578948,0.06856496710526316,0
18328,252,123,777,8,4,4,299.5,299.5,72.73015873015873,0.07102554563492064,0
16568,238,118,782,6,2,2,0.0,0.0,69.61344537815125,0.06798188025210083,0
17070,242,123,777,10,6,5,201.66666666666666,299.5,70.53719008264463,0.06888397469008264,0
16676,240,116,784,6,2,2,0.0,0.0,69.48333333333333,0.06785481770833333,0
17010,243,119,781,8,4,4,299.5,299.5,70.0,0.068359375,0
16736,241,118,782,6,2,2,0.0,0.0,69.44398340248962,0.06781639004149377,0
17186,244,117,783,8,4,4,300.0,300.0,70.43442622950819,0.06878361936475409,0
17084,240,117,783,6,2,2,0.0,0.0,71.18333333333334,0.06951497395833334,0
17916,252,118,782,8,4,4,300.0,299.5,71.0952380952381,0.06942894345238096,0
18790,247,121,779,8,6,2,0.0,0.0,76.07287449392713,0.07428991649797571,0
17132,243,123,777,8,4,4,299.5,299.5,70.50205761316873,0.06884966563786009,0
16760,239,119,781,6,2,2,0.0,0.0,70.1255230125523,0.06848195606694561,0
17130,245,116,784,8,4,4,299.5,299.5,69.91836734693878,0.0682796556122449,0
16018,231,117,783,6,2,2,0.0,0.0,69.34199134199135,0.06771678841991342,0
17124,245,117,783,8,4,4,299.5,299.5,69.89387755102041,0.06825573979591837,0
16676,240,117,783,6,2,2,0.0,0.0,69.48333333333333,0.06785481770833333,0
16536,237,119,781,8,4,4,299.5,299.5,69.77215189873418,0.0681368670886076,0
17931,245,121,779,8,2,2,0.0,0.0,73.18775510204081,0.07147241709183673,0
17784,247,115,785,8,4,4,300.0,300.0,72.0,0.0703125,0
17144,241,119,781,6,2,2,0.0,0.0,71.13692946058092,0.06946965767634855,0
18158,249,112,788,8,4,4,300.0,300.0,72.92369477911646,0.07121454568273092,0
17316,242,120,780,6,2,2,0.0,0.0,71.55371900826447,0.06987667871900827,0
18112,248,122,778,8,4,4,299.5,299.5,73.03225806451613,0.07132056451612903,0
17048,239,116,784,6,2,2,0.0,0.0,71.33054393305439,0.06965873430962342,0
18398,246,122,778,8,4,4,299.5,299.5,74.78861788617886,0.07303575965447154,0
16790,235,110,790,6,2,2,0.0,0.0,71.44680851063829,0.0697722739361702,0
18352,248,122,778,8,4,4,299.5,299.5,74.0,0.072265625,0
17672,246,120,780,6,2,2,0.0,0.0,71.83739837398375,0.0701537093495935,0
18390,244,118,782,8,4,4,299.5,299.5,75.3688524590164,0.0736023949795082,0
17194,240,119,781,6,2,2,0.0,0.0,71.64166666666667,0.06996256510416667,0
17936,245,116,784,8,4,4,299.5,299.5,73.20816326530613,0.07149234693877551,0
17012,239,120,780,6,2,2,0.0,0.0,71.17991631799163,0.0695116370292887,0
17768,242,117,783,8,4,4,299.5,300.0,73.42148760330579,0.07170067148760331,0
17414,244,120,780,6,2,2,0.0,0.0,71.3688524590164,0.0696961449795082,0
18308,247,120,780,8,4,4,300.0,300.0,74.12145748987854,0.07238423582995951,0
17790,243,118,782,6,2,2,0.0,0.0,73.20987654320987,0.07149402006172839,0
17968,241,114,786,8,4,4,299.5,299.5,74.55601659751038,0.07280860995850623,0
17142,241,115,785,6,2,2,0.0,0.0,71.12863070539419,0.06946155342323651,0
