nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
1627,13,5,895,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
10087,44,15,885,5,2,0,0.0,0,229.25,0.223876953125,10
1558,13,4,896,2,0,0,0,0,119.84615384615384,0.11703725961538461,10
2280,16,6,894,6,2,2,0.0,0.0,142.5,0.13916015625,10
1504,12,5,895,2,0,0,0,0,125.33333333333333,0.12239583333333333,10
1693,14,6,894,2,0,0,0,0,120.92857142857143,0.11809430803571429,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
10330,44,16,884,8,4,2,230.5,0.0,234.77272727272728,0.22927024147727273,10
2115,17,5,895,3,0,0,0,0,124.41176470588235,0.12149586397058823,10
1119,9,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1762,14,7,893,2,0,0,0,0,125.85714285714286,0.12290736607142858,10
2411,17,6,894,6,2,2,0.0,0.0,141.8235294117647,0.13849954044117646,10
1492,12,5,895,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
9665,41,16,884,5,2,0,0.0,0,235.73170731707316,0.23020674542682926,10
2370,17,7,893,6,2,2,0.0,0.0,139.41176470588235,0.13614430147058823,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1877,15,7,893,2,0,0,0,0,125.13333333333334,0.12220052083333334,10
2481,18,7,893,6,2,2,0.0,0.0,137.83333333333334,0.13460286458333334,10
2051,11,5,895,4,0,0,0,0,186.45454545454547,0.18208451704545456,10
9702,41,16,884,5,2,0,0.0,0,236.6341463414634,0.23108803353658536,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2276,16,5,895,6,2,2,0.0,0.0,142.25,0.138916015625,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1570,13,4,896,2,0,0,0,0,120.76923076923077,0.11793870192307693,10
10453,47,18,882,6,4,0,5.0,0,222.40425531914894,0.2171916555851064,10
2272,16,9,891,6,2,2,0.0,0.0,142.0,0.138671875,10
1877,15,5,895,2,0,0,0,0,125.13333333333334,0.12220052083333334,10
1693,14,5,895,2,0,0,0,0,120.92857142857143,0.11809430803571429,10
1254,10,4,896,2,0,0,0,0,125.4,0.1224609375,10
2562,18,8,892,6,2,2,0.0,0.0,142.33333333333334,0.13899739583333334,10
9665,41,15,885,5,2,0,0.0,0,235.73170731707316,0.23020674542682926,10
1877,15,5,895,2,0,0,0,0,125.13333333333334,0.12220052083333334,10
1320,11,4,896,2,0,0,0,0,120.0,0.1171875,10
2546,18,8,892,6,2,2,0.0,0.0,141.44444444444446,0.1381293402777778,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,7,893,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,6,894,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
10627,46,17,883,10,8,2,17.25,0.0,231.02173913043478,0.22560716711956522,10
1943,16,5,895,2,0,0,0,0,121.4375,0.11859130859375,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2078,17,6,894,2,0,0,0,0,122.23529411764706,0.1193704044117647,10
3305,22,10,890,8,4,5,8.5,0.0,150.22727272727272,0.14670632102272727,10
2051,11,4,896,4,0,0,0,0,186.45454545454547,0.18208451704545456,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
10002,43,16,884,6,4,0,5.0,0,232.6046511627907,0.2271529796511628,10
2677,19,7,893,6,2,2,0.0,0.0,140.89473684210526,0.13759251644736842,10
1693,14,5,895,2,0,0,0,0,120.92857142857143,0.11809430803571429,10
1254,10,5,895,2,0,0,0,0,125.4,0.1224609375,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2494,18,10,890,7,4,2,4.5,0.0,138.55555555555554,0.1353081597222222,10
9358,39,13,887,5,2,0,0.0,0,239.94871794871796,0.23432491987179488,10
3219,20,8,892,5,0,0,0,0,160.95,0.157177734375,10
1119,9,6,894,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2566,18,9,891,6,2,2,0.0,0.0,142.55555555555554,0.1392144097222222,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
10113,42,14,886,8,4,2,131.0,0.0,240.78571428571428,0.23514229910714285,10
1943,16,4,896,2,0,0,0,0,121.4375,0.11859130859375,10
1627,13,7,893,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2276,16,6,894,6,2,2,0.0,0.0,142.25,0.138916015625,10
9714,41,13,887,5,2,0,0.0,0,236.9268292682927,0.23137385670731708,10
1828,15,5,895,2,0,0,0,0,121.86666666666666,0.11901041666666666,10
1627,13,6,894,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2550,18,6,894,6,2,2,0.0,0.0,141.66666666666666,0.13834635416666666,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1119,9,3,897,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
10802,47,16,884,9,6,2,40.333333333333336,0.0,229.82978723404256,0.22444315159574468,10
1492,12,6,894,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1943,16,6,894,2,0,0,0,0,121.4375,0.11859130859375,10
1254,10,3,897,2,0,0,0,0,125.4,0.1224609375,10
2427,17,7,893,6,2,2,0.0,0.0,142.76470588235293,0.13941865808823528,10
10288,46,14,886,5,2,0,0.0,0,223.65217391304347,0.2184103260869565,10
2559,15,8,892,4,0,0,0,0,170.6,0.1666015625,10
1627,13,7,893,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1903,13,6,894,6,2,2,0.0,0.0,146.3846153846154,0.14295372596153846,10
1627,13,6,894,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
9628,41,12,888,5,2,0,0.0,0,234.82926829268294,0.22932545731707318,10
2698,19,8,892,7,2,2,0.0,0.0,142.0,0.138671875,10
1627,13,6,894,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
10502,45,16,884,8,4,2,91.0,0.0,233.37777777777777,0.2279079861111111,10
1119,9,3,897,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1492,12,5,895,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2490,18,7,893,7,4,2,5.0,0.0,138.33333333333334,0.13509114583333334,10
10538,48,17,883,5,2,0,0.0,0,219.54166666666666,0.21439615885416666,10
1389,11,3,897,2,0,0,0,0,126.27272727272727,0.12331321022727272,10
1492,12,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2506,18,7,893,7,4,2,5.0,0.0,139.22222222222223,0.1359592013888889,10
1492,12,5,895,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
10153,45,14,886,5,2,0,0.0,0,225.62222222222223,0.2203342013888889,10
1119,9,3,897,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
2411,17,7,893,6,2,2,0.0,0.0,141.8235294117647,0.13849954044117646,10
1627,13,4,896,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2694,16,5,895,4,0,0,0,0,168.375,0.1644287109375,10
1627,13,5,895,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2866,19,9,891,6,2,2,0.0,0.0,150.8421052631579,0.14730674342105263,10
9124,38,12,888,5,2,0,0.0,0,240.10526315789474,0.23447779605263158,10
1693,14,5,895,2,0,0,0,0,120.92857142857143,0.11809430803571429,10
1627,13,6,894,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
2280,16,5,895,6,2,2,0.0,0.0,142.5,0.13916015625,10
1627,13,5,895,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1119,9,3,897,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
10597,43,15,885,7,2,0,0.0,0,246.4418604651163,0.24066587936046513,10
3612,27,12,888,8,4,2,5.0,0.0,133.77777777777777,0.1306423611111111,10
1627,13,7,893,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1627,13,5,895,2,0,0,0,0,125.15384615384616,0.12222055288461539,10
1119,9,4,896,2,0,0,0,0,124.33333333333333,0.12141927083333333,10
3343,19,8,892,8,2,2,0.0,0.0,175.94736842105263,0.1718236019736842,10
1762,14,6,894,2,0,0,0,0,125.85714285714286,0.12290736607142858,10
9830,42,14,886,6,4,0,5.0,0,234.04761904761904,0.22856212797619047,10
