nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
8712,66,39,861,6,6,0,201.33333333333334,0,132.0,0.12890625,19
8673,63,34,866,6,4,0,151.0,0,137.66666666666666,0.13444010416666666,19
8480,63,42,858,6,4,0,300.0,0,134.6031746031746,0.1314484126984127,19
8905,66,41,859,6,6,0,100.66666666666667,0,134.92424242424244,0.13176195549242425,19
8546,64,38,862,6,4,0,151.0,0,133.53125,0.130401611328125,19
9037,68,43,857,6,6,0,200.0,0,132.89705882352942,0.12978228400735295,19
8578,65,44,856,6,2,0,0.0,0,131.96923076923076,0.12887620192307692,19
9164,65,44,856,8,4,0,299.5,0,140.98461538461538,0.13768028846153846,19
8839,65,49,851,6,6,0,200.0,0,135.98461538461538,0.13279747596153846,19
8380,62,52,848,6,2,0,0.0,0,135.16129032258064,0.13199344758064516,19
9427,67,54,846,6,6,0,100.66666666666667,0,140.70149253731344,0.13740380130597016,19
8712,66,44,856,6,6,0,202.0,0,132.0,0.12890625,19
8607,62,39,861,6,4,0,151.5,0,138.82258064516128,0.1355689264112903,19
8580,64,39,861,6,6,0,200.66666666666666,0,134.0625,0.13092041015625,19
8573,62,41,859,6,2,0,0.0,0,138.2741935483871,0.13503339213709678,19
8580,64,39,861,6,6,0,200.66666666666666,0,134.0625,0.13092041015625,19
8243,57,36,864,6,2,0,0.0,0,144.6140350877193,0.14122464364035087,19
8646,65,38,862,6,6,0,201.0,0,133.01538461538462,0.12989783653846154,19
8475,60,34,866,6,4,0,150.5,0,141.25,0.137939453125,19
8546,64,41,859,6,4,0,150.5,0,133.53125,0.130401611328125,19
8707,63,43,857,6,6,0,199.66666666666666,0,138.20634920634922,0.1349671378968254,19
8248,60,44,856,6,2,0,0.0,0,137.46666666666667,0.13424479166666667,19
8480,63,40,860,6,4,0,300.0,0,134.6031746031746,0.1314484126984127,19
8641,62,42,858,6,6,0,200.0,0,139.3709677419355,0.13610446068548387,19
8050,57,40,860,6,2,0,0.0,0,141.2280701754386,0.13791803728070176,19
8971,67,40,860,6,6,0,100.33333333333333,0,133.8955223880597,0.13075734608208955,19
10568,76,41,859,10,6,8,299.0,0.5,139.05263157894737,0.1357935855263158,19
8773,64,43,857,6,6,0,100.33333333333333,0,137.078125,0.1338653564453125,19
8380,62,42,858,6,2,0,0.0,0,135.16129032258064,0.13199344758064516,19
8839,65,44,856,6,6,0,200.66666666666666,0,135.98461538461538,0.13279747596153846,19
8512,64,48,852,6,2,0,0.0,0,133.0,0.1298828125,19
8773,64,49,851,6,6,0,200.66666666666666,0,137.078125,0.1338653564453125,19
8446,63,47,853,6,2,0,0.0,0,134.06349206349208,0.13092137896825398,19
8612,65,43,857,6,4,0,299.0,0,132.4923076923077,0.12938701923076923,19
9037,68,50,850,6,6,0,199.66666666666666,0,132.89705882352942,0.12978228400735295,19
8380,62,49,851,6,2,0,0.0,0,135.16129032258064,0.13199344758064516,19
8839,65,49,851,6,6,0,100.66666666666667,0,135.98461538461538,0.13279747596153846,19
8612,65,49,851,6,4,0,300.0,0,132.4923076923077,0.12938701923076923,19
18355,104,58,842,9,8,0,75.5,0,176.4903846153846,0.17235389122596154,19
8314,61,49,851,6,2,0,0.0,0,136.29508196721312,0.13310066598360656,19
8739,64,49,851,6,4,0,300.0,0,136.546875,0.1333465576171875,19
8905,66,48,852,6,6,0,200.66666666666666,0,134.92424242424244,0.13176195549242425,19
8512,64,48,852,6,2,0,0.0,0,133.0,0.1298828125,19
8839,65,46,854,6,6,0,200.33333333333334,0,135.98461538461538,0.13279747596153846,19
8578,65,43,857,6,2,0,0.0,0,131.96923076923076,0.12887620192307692,19
8839,65,42,858,6,6,0,100.66666666666667,0,135.98461538461538,0.13279747596153846,19
9566,71,46,854,8,4,0,299.5,0,134.73239436619718,0.13157460387323944,19
8635,62,42,858,6,6,0,100.66666666666667,0,139.2741935483871,0.13600995463709678,19
8546,64,42,858,6,4,0,300.0,0,133.53125,0.130401611328125,19
