nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
29826,380,209,691,8,4,0,301.0,0,78.48947368421052,0.07664987664473684,8
26200,361,184,716,6,2,0,0.0,0,72.57617728531856,0.07087517313019391,8
31064,389,208,692,10,6,0,200.33333333333334,0,79.8560411311054,0.07798441516709512,8
37228,435,209,691,18,14,0,80.66666666666667,0,85.5816091954023,0.08357579022988505,8
26331,363,205,695,6,2,0,0.0,0,72.53719008264463,0.07083709969008264,8
29761,379,207,693,8,4,0,300.5,0,78.52506596306068,0.07668463472955145,8
31951,400,205,695,12,8,0,144.75,0,79.8775,0.07800537109375,8
32472,401,190,710,12,8,0,150.25,0,80.97755610972568,0.07907964463840399,8
26265,362,178,722,6,2,0,0.0,0,72.55524861878453,0.07085473497928177,8
31136,389,197,703,10,6,0,200.66666666666666,0,80.04113110539846,0.07816516709511569,8
34218,414,212,688,16,10,0,90.0,0,82.65217391304348,0.08071501358695653,8
36588,425,210,690,16,12,0,126.4,0,86.08941176470589,0.08407169117647059,8
26331,363,205,695,6,2,0,0.0,0,72.53719008264463,0.07083709969008264,8
31268,391,207,693,10,6,0,200.66666666666666,0,79.9693094629156,0.07809502877237852,8
33212,411,209,691,14,10,0,52.2,0,80.80778588807786,0.07891385340632603,8
31399,393,187,713,10,6,0,200.33333333333334,0,79.89567430025446,0.07802311943384224,8
26331,363,183,717,6,2,0,0.0,0,72.53719008264463,0.07083709969008264,8
31201,390,207,693,10,6,0,200.66666666666666,0,80.00256410256411,0.07812750400641026,8
33350,413,211,689,14,10,0,30.2,0,80.75060532687651,0.07885801301452784,8
36784,428,207,693,16,12,0,102.66666666666667,0,85.94392523364486,0.08392961448598131,8
26397,364,204,696,6,2,0,0.0,0,72.51923076923077,0.07081956129807693,8
31267,391,201,699,10,6,0,200.66666666666666,0,79.96675191815856,0.07809253117007672,8
33147,410,146,754,14,10,0,63.8,0,80.84634146341463,0.07895150533536585,8
31267,391,208,692,10,6,0,200.66666666666666,0,79.96675191815856,0.07809253117007672,8
26463,365,204,696,6,2,0,0.0,0,72.5013698630137,0.07080211900684931,8
35326,414,208,692,14,10,0,167.4,0,85.32850241545894,0.08332861564009662,8
29114,387,207,693,10,6,0,146.0,0,75.22997416020672,0.07346677164082688,8
36671,426,206,694,16,12,0,120.2,0,86.08215962441315,0.08406460900821597,8
27856,375,141,759,8,4,0,102.0,0,74.28266666666667,0.07254166666666667,8
38392,441,207,693,18,14,0,101.14285714285714,0,87.05668934240363,0.08501629818594104,8
30738,398,206,694,12,8,0,123.5,0,77.23115577889448,0.07542105056532664,8
31306,391,208,692,10,6,0,200.66666666666666,0,80.06649616368287,0.07818993765984655,8
30945,400,209,691,12,8,0,196.5,0,77.3625,0.07554931640625,8
38198,438,209,691,18,14,0,103.0,0,87.21004566210046,0.08516606021689498,8
31746,401,211,689,14,8,0,98.0,0,79.16708229426433,0.07731160380299251,8
38129,437,210,690,18,14,0,86.0,0,87.25171624713958,0.08520675414759725,8
30879,399,208,692,12,8,0,159.5,0,77.39097744360902,0.07557712640977443,8
41291,463,180,720,22,18,0,85.375,0,89.18142548596113,0.08709123582613391,8
30873,400,179,721,12,8,0,101.0,0,77.1825,0.07537353515625,8
32816,403,207,693,12,8,0,193.25,0,81.42928039702234,0.07952078163771713,8
29236,385,183,717,10,6,0,102.66666666666667,0,75.93766233766233,0.07415787337662337,8
39576,448,166,734,20,16,0,99.0,0,88.33928571428571,0.08626883370535714,8
30741,398,210,690,12,8,0,110.75,0,77.23869346733669,0.07542841158919598,8
39774,451,214,686,20,16,0,91.14285714285714,0,88.19068736141907,0.0861237181263858,8
32766,414,208,692,16,12,0,145.6,0,79.14492753623189,0.07728996829710146,8
37764,434,210,690,17,12,0,126.5,0,87.01382488479263,0.0849744383640553,8
30673,397,196,704,12,8,0,91.5,0,77.26196473551637,0.07545113743702771,8
34329,415,170,730,14,10,0,139.6,0,82.72048192771085,0.08078172063253013,8
36191,433,209,691,18,14,0,122.66666666666667,0,83.58198614318707,0.08162303334295612,8
34065,411,207,693,14,10,0,129.0,0,82.88321167883211,0.08094063640510948,8
32447,413,147,753,14,10,0,123.8,0,78.5641646489104,0.07672281703995157,8
42468,470,215,685,24,20,0,69.22222222222223,0,90.35744680851064,0.08823969414893618,8
37634,444,215,685,20,16,0,95.71428571428571,0,84.76126126126127,0.08277466920045046,8
35769,426,214,686,16,12,0,110.16666666666667,0,83.96478873239437,0.08199686399647887,8
33490,418,212,688,16,12,0,113.33333333333333,0,80.11961722488039,0.07824181369617225,8
32818,403,209,691,12,8,0,150.5,0,81.43424317617865,0.07952562810173697,8
34945,425,155,745,16,12,0,46.5,0,82.2235294117647,0.08029641544117647,8
29731,378,194,706,8,4,0,301.0,0,78.65343915343915,0.07680999917328042,8
34566,422,211,689,18,12,0,105.33333333333333,0,81.90995260663507,0.07999018809241706,8
38207,438,209,691,18,14,0,87.0,0,87.23059360730593,0.0851861265696347,8
34885,424,211,689,16,12,0,44.166666666666664,0,82.27594339622641,0.08034760097287735,8
29861,380,206,694,8,4,0,301.0,0,78.58157894736843,0.07673982319078948,8
30605,396,162,738,12,8,0,115.25,0,77.28535353535354,0.07547397806186869,8
31175,389,185,715,10,6,0,200.33333333333334,0,80.1413881748072,0.07826307438946016,8
36324,435,211,689,18,14,0,107.57142857142857,0,83.50344827586207,0.08154633620689655,8
32753,402,209,691,12,8,0,150.5,0,81.47512437810946,0.07956555115049752,8
33758,422,213,687,16,12,0,115.66666666666667,0,79.99526066350711,0.07812037174170616,8
45028,484,214,686,26,22,0,74.33333333333333,0,93.03305785123968,0.09085259555785125,8
30878,399,173,727,12,8,0,93.0,0,77.38847117794487,0.07557467888471178,8
34461,417,175,725,14,10,0,147.0,0,82.64028776978417,0.08070340602517985,8
30671,397,207,693,12,8,0,87.0,0,77.25692695214106,0.07544621772670025,8
36690,426,210,690,16,12,0,100.33333333333333,0,86.12676056338029,0.08410816461267606,8
27980,377,207,693,8,4,0,93.5,0,74.21750663129974,0.07247803381962865,8
29727,378,204,696,8,4,0,301.0,0,78.64285714285714,0.07679966517857142,8
30930,401,191,709,12,8,0,101.5,0,77.13216957605985,0.07532438435162095,8
45156,486,164,736,26,22,0,85.55555555555556,0,92.91358024691358,0.09073591820987655,8
29361,387,206,694,10,6,0,54.333333333333336,0,75.86821705426357,0.07409005571705427,8
29837,380,206,694,8,4,0,301.0,0,78.51842105263158,0.07667814555921053,8
29143,385,206,694,10,6,0,51.333333333333336,0,75.69610389610389,0.07392197646103896,8
35280,416,210,690,14,10,0,152.25,0,84.8076923076923,0.08282001201923077,8
27971,377,198,702,8,4,0,70.0,0,74.19363395225464,0.07245472065649868,8
31136,389,148,752,10,6,0,225.33333333333334,0,80.04113110539846,0.07816516709511569,8
30213,389,206,694,12,6,0,42.666666666666664,0,77.66838046272494,0.07584802779562982,8
40651,451,212,688,20,16,0,133.0,0,90.13525498891353,0.08802270995011087,8
27905,376,204,696,8,4,0,58.5,0,74.21542553191489,0.07247600149601063,8
29826,380,208,692,8,4,0,301.0,0,78.48947368421052,0.07664987664473684,8
34655,422,207,693,16,12,0,76.6,0,82.12085308056872,0.08019614558649289,8
29694,378,140,760,8,4,0,301.0,0,78.55555555555556,0.07671440972222222,8
27905,376,203,697,8,4,0,47.0,0,74.21542553191489,0.07247600149601063,8
29826,380,208,692,8,4,0,300.5,0,78.48947368421052,0.07664987664473684,8
34721,423,158,742,16,12,0,34.2,0,82.08274231678487,0.08015892804373523,8
35139,414,203,697,14,10,0,150.5,0,84.8768115942029,0.08288751132246377,8
27905,376,205,695,8,4,0,35.0,0,74.21542553191489,0.07247600149601063,8
29826,380,208,692,8,4,0,301.0,0,78.48947368421052,0.07664987664473684,8
34655,422,210,690,16,12,0,32.2,0,82.12085308056872,0.08019614558649289,8
29826,380,204,696,8,4,0,301.0,0,78.48947368421052,0.07664987664473684,8
27773,374,148,752,8,4,0,23.0,0,74.25935828877006,0.07251890457887701,8
29826,380,194,706,8,4,0,301.0,0,78.48947368421052,0.07664987664473684,8
34792,424,210,690,16,12,0,70.2,0,82.05660377358491,0.08013340212264151,8
35139,414,205,695,14,10,0,120.4,0,84.8768115942029,0.08288751132246377,8
27905,376,205,695,8,4,0,12.0,0,74.21542553191489,0.07247600149601063,8
29694,378,205,695,8,4,0,300.5,0,78.55555555555556,0.07671440972222222,8
34588,421,177,723,16,12,0,107.8,0,82.15676959619952,0.0802312203087886,8
29958,382,154,746,8,4,0,301.0,0,78.42408376963351,0.07658601930628273,8
27960,374,203,697,8,4,0,0.0,0,74.75935828877006,0.07300718582887701,8
35140,414,209,691,14,10,0,150.5,0,84.8792270531401,0.08288987016908213,8
30147,388,202,698,12,6,0,25.333333333333332,0,77.69845360824742,0.07587739610180412,8
35144,414,148,752,14,10,0,150.5,0,84.88888888888889,0.08289930555555555,8
28037,378,180,720,8,4,0,11.5,0,74.17195767195767,0.07243355241402116,8
35140,414,209,691,14,10,0,120.4,0,84.8792270531401,0.08288987016908213,8
29275,387,209,691,10,6,0,36.333333333333336,0,75.64599483204134,0.07387304182816537,8
