nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
33886,149,27,873,5,2,0,0.0,0,227.4228187919463,0.22209259647651006,15
342,1,1,899,2,0,0,0,0,342.0,0.333984375,15
342,1,1,899,2,0,0,0,0,342.0,0.333984375,15
342,1,1,899,2,0,0,0,0,342.0,0.333984375,15
342,1,0,900,2,0,0,0,0,342.0,0.333984375,15
342,1,0,900,2,0,0,0,0,342.0,0.333984375,15
342,1,0,900,2,0,0,0,0,342.0,0.333984375,15
80,1,0,900,2,1,0,0,0,80.0,0.078125,15
285,1,0,900,2,1,0,0.0,0,285.0,0.2783203125,15
58,1,1,899,2,0,0,0,0,58.0,0.056640625,15
58,1,0,900,2,0,0,0,0,58.0,0.056640625,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
237,1,0,900,2,0,0,0,0,237.0,0.2314453125,15
492,1,0,900,2,0,0,0,0,492.0,0.48046875,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
392,1,0,900,2,0,0,0,0,392.0,0.3828125,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
898,1,0,900,2,0,0,0,0,898.0,0.876953125,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
253,1,0,900,2,0,0,0,0,253.0,0.2470703125,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
79,1,0,900,2,0,0,0,0,79.0,0.0771484375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
121,1,0,900,2,0,0,0,0,121.0,0.1181640625,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,1,899,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,0,900,2,0,0,0,0,54.0,0.052734375,15
566,1,0,900,2,0,0,0,0,566.0,0.552734375,15
54,1,1,899,2,0,0,0,0,54.0,0.052734375,15
