nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
136802,458,41,859,40,26,0,5.222222222222222,0,298.6943231441048,0.29169367494541487,27
356,1,1,899,2,0,0,0,0,356.0,0.34765625,27
356,1,0,900,2,0,0,0,0,356.0,0.34765625,27
356,1,1,899,2,0,0,0,0,356.0,0.34765625,27
350,1,1,899,2,0,0,0,0,350.0,0.341796875,27
350,1,1,899,2,0,0,0,0,350.0,0.341796875,27
350,1,1,899,2,0,0,0,0,350.0,0.341796875,27
342,1,1,899,2,0,0,0,0,342.0,0.333984375,27
342,1,0,900,2,0,0,0,0,342.0,0.333984375,27
342,1,0,900,2,0,0,0,0,342.0,0.333984375,27
362,1,0,900,2,0,0,0,0,362.0,0.353515625,27
342,1,0,900,2,0,0,0,0,342.0,0.333984375,27
74,1,1,899,2,0,0,0,0,74.0,0.072265625,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
133,1,0,900,1,0,0,0,0,133.0,0.1298828125,27
84,1,0,900,2,1,0,0,0,84.0,0.08203125,27
109,1,0,900,2,1,0,0.0,0,109.0,0.1064453125,27
141,1,0,900,1,0,0,0,0,141.0,0.1376953125,27
71,1,1,899,2,1,0,0,0,71.0,0.0693359375,27
532,1,0,900,2,1,0,0.0,0,532.0,0.51953125,27
73,1,1,899,2,1,0,0,0,73.0,0.0712890625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
245,1,0,900,2,1,0,0.0,0,245.0,0.2392578125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
568,1,0,900,2,0,0,0,0,568.0,0.5546875,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
217,1,0,900,2,0,0,0,0,217.0,0.2119140625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
86,1,1,899,2,1,0,0,0,86.0,0.083984375,27
262,1,0,900,2,1,0,0.0,0,262.0,0.255859375,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
268,1,0,900,2,0,0,0,0,268.0,0.26171875,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1484,1,0,900,2,0,0,0,0,1484.0,1.44921875,27
1484,1,0,900,2,0,0,0,0,1484.0,1.44921875,27
1236,1,0,900,2,0,0,0,0,1236.0,1.20703125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
184,1,0,900,2,0,0,0,0,184.0,0.1796875,27
109,1,0,900,2,0,0,0,0,109.0,0.1064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
616,1,0,900,2,0,0,0,0,616.0,0.6015625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
435,1,0,900,2,0,0,0,0,435.0,0.4248046875,27
503,1,0,900,2,0,0,0,0,503.0,0.4912109375,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
503,1,0,900,2,0,0,0,0,503.0,0.4912109375,27
78,1,0,900,2,0,0,0,0,78.0,0.076171875,27
78,1,1,899,2,1,0,0,0,78.0,0.076171875,27
259,1,0,900,2,1,0,0.0,0,259.0,0.2529296875,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
291,1,0,900,2,0,0,0,0,291.0,0.2841796875,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1464,1,0,900,2,0,0,0,0,1464.0,1.4296875,27
1464,1,0,900,2,0,0,0,0,1464.0,1.4296875,27
434,1,0,900,2,0,0,0,0,434.0,0.423828125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
192,1,0,900,2,0,0,0,0,192.0,0.1875,27
324,1,0,900,2,0,0,0,0,324.0,0.31640625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
557,1,0,900,2,0,0,0,0,557.0,0.5439453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1130,1,0,900,2,0,0,0,0,1130.0,1.103515625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
74,1,1,899,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
291,1,0,900,2,0,0,0,0,291.0,0.2841796875,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1464,1,0,900,2,0,0,0,0,1464.0,1.4296875,27
1464,1,0,900,2,0,0,0,0,1464.0,1.4296875,27
434,1,0,900,2,0,0,0,0,434.0,0.423828125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
192,1,0,900,2,0,0,0,0,192.0,0.1875,27
324,1,0,900,2,0,0,0,0,324.0,0.31640625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
558,1,0,900,2,0,0,0,0,558.0,0.544921875,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1130,1,1,899,2,0,0,0,0,1130.0,1.103515625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
83,1,1,899,2,1,0,0,0,83.0,0.0810546875,27
230,1,0,900,2,1,0,0.0,0,230.0,0.224609375,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
383,1,0,900,2,0,0,0,0,383.0,0.3740234375,27
71,1,0,900,2,0,0,0,0,71.0,0.0693359375,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
246,1,0,900,2,0,0,0,0,246.0,0.240234375,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
379,1,0,900,2,0,0,0,0,379.0,0.3701171875,27
1174,1,0,900,2,0,0,0,0,1174.0,1.146484375,27
68,1,0,900,2,0,0,0,0,68.0,0.06640625,27
71,1,0,900,2,0,0,0,0,71.0,0.0693359375,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
144,1,0,900,2,0,0,0,0,144.0,0.140625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
79,1,1,899,2,1,0,0,0,79.0,0.0771484375,27
455,1,0,900,2,1,0,0.0,0,455.0,0.4443359375,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
280,1,0,900,2,0,0,0,0,280.0,0.2734375,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
1514,1,0,900,2,0,0,0,0,1514.0,1.478515625,27
1514,1,0,900,2,0,0,0,0,1514.0,1.478515625,27
735,1,0,900,2,0,0,0,0,735.0,0.7177734375,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
180,1,0,900,2,0,0,0,0,180.0,0.17578125,27
312,1,0,900,2,0,0,0,0,312.0,0.3046875,27
54,1,0,900,2,0,0,0,0,54.0,0.052734375,27
367,1,0,900,2,0,0,0,0,367.0,0.3583984375,27
590,1,0,900,2,0,0,0,0,590.0,0.576171875,27
54,1,1,899,2,0,0,0,0,54.0,0.052734375,27
85,1,0,900,2,1,0,0,0,85.0,0.0830078125,27
438,1,0,900,2,1,0,0.0,0,438.0,0.427734375,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
74,1,0,900,2,0,0,0,0,74.0,0.072265625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
298,1,0,900,2,0,0,0,0,298.0,0.291015625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
1514,1,0,900,2,0,0,0,0,1514.0,1.478515625,27
1514,1,0,900,2,0,0,0,0,1514.0,1.478515625,27
144,1,0,900,2,0,0,0,0,144.0,0.140625,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
66,1,0,900,2,0,0,0,0,66.0,0.064453125,27
