nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
53016,406,103,797,43,36,79,46.72222222222222,24.705882352941178,130.58128078817734,0.12752078201970443,6
57386,438,104,796,43,36,75,46.666666666666664,18.066666666666666,131.01826484018264,0.12794752425799086,6
57693,448,110,790,43,36,89,46.666666666666664,19.136363636363637,128.77901785714286,0.12576075962611608,6
54152,412,95,805,43,36,61,46.666666666666664,37.625,131.4368932038835,0.12835634101941748,6
53997,423,98,802,43,36,62,46.72222222222222,31.823529411764707,127.65248226950355,0.12466062721631206,6
56564,426,105,795,43,36,83,46.611111111111114,22.157894736842106,132.7793427230047,0.12966732687793428,6
53978,419,98,802,43,36,69,46.72222222222222,35.083333333333336,128.8257756563246,0.1258064215393795,6
55585,419,111,789,43,36,89,46.666666666666664,19.136363636363637,132.66109785202863,0.1295518533711217,6
55912,439,100,800,43,36,70,46.666666666666664,31.28,127.3621867881549,0.12437713553530752,6
56272,431,104,796,43,36,67,46.666666666666664,19.181818181818183,130.5614849187935,0.12750145011600927,6
55222,427,106,794,43,36,81,46.666666666666664,21.75,129.3255269320843,0.12629445989461358,6
51505,388,93,807,43,36,48,46.666666666666664,1.0,132.74484536082474,0.1296336380476804,6
52844,407,100,800,43,36,62,46.72222222222222,17.705882352941178,129.83783783783784,0.12679476351351351,6
55233,423,96,804,43,36,47,46.55555555555556,0.5,130.5744680851064,0.1275141289893617,6
51298,397,93,807,43,36,45,46.666666666666664,0,129.21410579345087,0.12618565018891686,6
56519,433,98,802,43,36,59,46.72222222222222,21.714285714285715,130.52886836027713,0.12746959800808313,6
57967,455,106,794,43,36,84,46.666666666666664,18.53846153846154,127.4,0.1244140625,6
56621,436,103,797,43,36,63,46.666666666666664,46.833333333333336,129.86467889908258,0.12682097548738533,6
57639,451,103,797,43,36,90,46.666666666666664,18.733333333333334,127.80266075388026,0.12480728589246119,6
59806,461,111,789,43,36,87,46.611111111111114,20.023809523809526,129.73101952277656,0.1266904487527115,6
57530,450,109,791,43,36,81,46.72222222222222,21.72222222222222,127.84444444444445,0.12484809027777778,6
57328,443,100,800,43,36,66,46.611111111111114,17.238095238095237,129.40857787810384,0.12637556433408578,6
55788,437,101,799,43,36,63,46.72222222222222,20.0,127.66132723112128,0.12466926487414187,6
59819,461,109,791,43,36,81,46.611111111111114,20.055555555555557,129.7592190889371,0.12671798739154014,6
58674,460,106,794,43,36,86,46.666666666666664,20.536585365853657,127.55217391304348,0.12456266983695652,6
55114,423,96,804,43,36,52,46.72222222222222,17.142857142857142,130.29314420803783,0.12723939864066194,6
56334,443,107,793,43,36,72,46.666666666666664,19.962962962962962,127.16478555304741,0.12418436089164786,6
