nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
9803,88,32,868,8,12,6,200.0,200.0,111.39772727272727,0.10878684303977272,18
11461,105,41,859,8,12,6,200.0,200.0,109.15238095238095,0.10659412202380952,18
8401,73,25,875,8,12,6,200.0,200.0,115.08219178082192,0.1123849529109589,18
9072,80,26,874,9,16,8,151.25,151.25,113.4,0.1107421875,18
12896,116,38,862,9,16,7,150.0,198.33333333333334,111.17241379310344,0.10856681034482758,18
9176,82,29,871,8,12,6,200.0,200.0,111.90243902439025,0.1092797256097561,18
11585,104,34,866,8,12,6,200.0,200.0,111.39423076923077,0.10878342848557693,18
9073,81,29,871,8,12,6,200.0,200.0,112.01234567901234,0.10938705632716049,18
8904,79,29,871,8,12,6,150.0,200.0,112.70886075949367,0.11006724683544304,18
12374,111,37,863,8,12,6,200.0,200.0,111.47747747747748,0.1088647240990991,18
10293,86,31,869,10,12,6,200.0,200.0,119.68604651162791,0.11688090479651163,18
9705,87,30,870,9,16,8,150.0,150.0,111.55172413793103,0.10893723060344827,18
11546,103,34,866,8,12,6,200.0,200.0,112.09708737864078,0.10946981189320389,18
9184,82,29,871,8,12,6,200.0,200.0,112.0,0.109375,18
11949,106,35,865,8,12,6,200.0,200.0,112.72641509433963,0.11008438974056604,18
9274,83,30,870,8,12,6,200.0,200.0,111.73493975903614,0.10911615210843373,18
9516,85,29,871,9,16,8,150.0,150.0,111.95294117647059,0.10932904411764706,18
11546,103,34,866,8,12,6,200.0,200.0,112.09708737864078,0.10946981189320389,18
8932,79,28,872,8,12,6,200.0,200.0,113.0632911392405,0.11041337025316456,18
9880,88,30,870,9,16,8,150.0,150.0,112.27272727272727,0.10964133522727272,18
12661,115,38,862,9,16,8,150.0,150.0,110.09565217391304,0.10751528532608695,18
9136,82,29,871,8,12,6,200.0,200.0,111.41463414634147,0.10880335365853659,18
12253,110,36,864,9,16,7,151.25,201.66666666666666,111.39090909090909,0.10878018465909091,18
9611,85,30,870,8,12,6,200.0,200.0,113.07058823529412,0.11042049632352942,18
9097,81,29,871,8,12,6,200.0,200.0,112.30864197530865,0.10967640817901235,18
12520,113,38,862,9,16,7,150.0,198.33333333333334,110.79646017699115,0.10819966814159292,18
10167,92,31,869,10,20,9,120.0,148.75,110.51086956521739,0.10792077105978261,18
