nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
459385,3987,862,38,135,128,122,19.822222222222223,15.272727272727273,115.22071733132681,0.11252023176887384,30
476124,4084,871,29,132,128,117,19.813953488372093,16.510204081632654,116.58276199804114,0.11385035351371205,30
462367,3992,865,35,130,118,125,20.38095238095238,13.80327868852459,115.82339679358718,0.11310878593123748,30
471532,4005,864,36,138,136,97,18.26086956521739,26.0625,117.7358302122347,0.11497639669163545,30
639663,4677,871,29,160,130,115,20.023809523809526,21.024390243902438,136.76779987171264,0.13356230456221937,30
508995,4255,878,22,148,132,133,20.904761904761905,14.01639344262295,119.62279670975323,0.11681913741186839,30
469450,4045,867,33,133,130,109,21.846153846153847,20.071428571428573,116.05686032138442,0.11333677765760197,30
474805,4108,871,29,139,120,143,22.973684210526315,12.925373134328359,115.58057448880234,0.11287165477422104,30
647258,4843,870,30,193,172,109,15.555555555555555,19.357142857142858,133.64815197191822,0.1305157734100764,30
568525,4480,876,24,168,152,125,19.288888888888888,17.313725490196077,126.90290178571429,0.12392861502511161,30
495331,4133,873,27,145,136,121,19.53488372093023,15.642857142857142,119.84781030728284,0.1170388772532059,30
470935,4108,877,23,157,152,82,18.0,44.0,114.63851022395326,0.11195167014057936,30
510961,4215,865,35,158,157,132,17.26530612244898,16.58,121.2244365361803,0.11838323880486358,30
476742,4144,868,32,143,142,101,20.714285714285715,30.413793103448278,115.04391891891892,0.11234757706925676,30
465644,4022,873,27,129,116,91,22.7027027027027,40.22727272727273,115.77424167081054,0.11306078288165092,30
504577,4122,868,32,144,140,110,18.933333333333334,21.166666666666668,122.41072295002427,0.11954172163088307,30
452974,3987,869,31,125,122,150,23.45945945945946,12.6,113.61274140958113,0.11094994278279408,30
456353,4013,866,34,123,118,101,22.025,22.783783783783782,113.7186643408921,0.11105338314540245,30
485252,4117,864,36,138,140,136,21.0,12.772727272727273,117.86543599708526,0.11510296484090357,30
480734,4124,869,31,134,126,121,21.564102564102566,14.75438596491228,116.56983511154219,0.11383772960111542,30
646748,4548,877,23,157,148,125,19.72093023255814,14.280701754385966,142.20492524186454,0.13887199730650834,30
530664,4309,875,25,146,121,112,22.07894736842105,20.25581395348837,123.15247157113019,0.12026608551868183,30
504894,4255,877,23,154,154,106,18.0,19.92105263157895,118.65898942420682,0.11587791935957698,30
582565,4534,872,28,170,160,126,17.408163265306122,16.072727272727274,128.48808998676665,0.1254766503777018,30
607578,4541,876,24,171,156,137,16.8,13.348484848484848,133.79828231667034,0.13066238507487338,30
637128,4666,864,36,189,180,91,15.472727272727273,33.92307692307692,136.54693527646808,0.13334661648092586,30
540182,4379,865,35,163,150,121,17.872340425531913,17.041666666666668,123.35738753139987,0.12046619876113268,30
520094,4398,880,20,167,166,104,17.176470588235293,22.63888888888889,118.25693497044111,0.1154852880570714,30
521792,4398,888,12,157,144,119,18.375,15.557692307692308,118.64301955434289,0.11586232378353797,30
578363,4639,890,10,170,134,141,18.23913043478261,12.382352941176471,124.67406768700151,0.12175201922558741,30
581109,4583,896,4,169,160,107,16.686274509803923,23.44736842105263,126.79663975561859,0.12382484351134627,30
588547,4567,884,16,189,184,98,18.040816326530614,25.142857142857142,128.86949857674622,0.12584911970385373,30
605159,4549,877,23,167,152,134,16.82,13.80952380952381,133.0312156517916,0.12991329653495273,30
558138,4477,874,26,183,162,97,16.11320754716981,27.548387096774192,124.66785794058521,0.12174595502010274,30
520810,4305,880,20,149,144,135,19.17391304347826,15.436363636363636,120.97793263646922,0.11814251234030197,30
556576,4469,869,31,181,162,117,16.88,18.795454545454547,124.54150816737526,0.1216225665697024,30
509046,4261,873,27,149,126,103,20.69047619047619,24.25,119.46632245951655,0.11666633052687163,30
558762,4489,870,30,169,162,121,15.849056603773585,13.909090909090908,124.47360213856092,0.1215562520884384,30
546739,4433,879,21,138,132,118,17.133333333333333,16.264150943396228,123.3338596886984,0.12044322235224453,30
640191,4484,880,20,148,142,111,17.872340425531913,16.78723404255319,142.77230151650312,0.13942607569971008,30
670981,5144,881,19,151,119,113,21.0,17.979166666666668,130.43954121306376,0.12738236446588258,30
617834,5006,884,16,158,158,128,17.26530612244898,17.64,123.41869756292449,0.12052607183879345,30
719933,5961,884,16,162,126,118,20.0,17.914893617021278,120.77386344573058,0.11794322602122127,30
1693331,7873,893,7,171,140,141,18.26086956521739,12.397058823529411,215.0807824209323,0.2100398265829417,30
2577142,10324,895,5,234,196,140,16.0188679245283,12.470588235294118,249.6263076327005,0.24377569104755908,30
1777297,7457,891,9,183,148,108,18.708333333333332,25.58823529411765,238.3394126324259,0.23275333264885342,30
1108797,5908,876,24,166,132,108,19.558139534883722,19.651162790697676,187.67721733243062,0.18327853255120177,30
1550377,7492,890,10,209,166,117,17.714285714285715,17.52173913043478,206.93766684463426,0.20208756527796315,30
787670,5859,889,11,152,134,121,18.68888888888889,14.672727272727272,134.43761734084316,0.13128673568441715,30
691106,5269,884,16,138,121,112,21.564102564102566,22.210526315789473,131.1645473524388,0.12809037827386602,30
751006,5439,884,16,159,144,116,18.282608695652176,18.291666666666668,138.07795550652693,0.1348417534243427,30
750687,5820,889,11,150,138,110,18.282608695652176,19.066666666666666,128.9840206185567,0.1259609576353093,30
700708,5515,887,13,136,126,110,20.48780487804878,20.227272727272727,127.05494106980962,0.12407709088848595,30
796605,6146,890,10,146,132,139,19.113636363636363,12.411764705882353,129.6135698014969,0.12657575175927432,30
606021,4816,882,18,158,146,103,18.933333333333334,24.34375,125.83492524916943,0.12288566918864202,30
612456,5009,876,24,143,128,107,21.25,25.764705882352942,122.27111199840287,0.1194053828109403,30
503959,4341,869,31,134,126,117,20.11904761904762,19.045454545454547,116.09283575213084,0.11337190991419027,30
507907,4363,874,26,146,146,123,20.047619047619047,15.826923076923077,116.41233096493238,0.11368391695794178,30
609331,4770,878,22,135,125,105,20.071428571428573,23.157894736842106,127.74234800838575,0.1247483867269392,30
607882,4970,876,24,136,126,88,20.068181818181817,23.14814814814815,122.3102615694165,0.1194436148138833,30
716733,5522,881,19,180,170,104,16.037735849056602,22.81578947368421,129.79590727997103,0.1267538157030967,30
568301,4654,879,21,151,132,131,22.71794871794872,13.365079365079366,122.11022776106574,0.11924826929791577,30
620722,5021,883,17,149,138,158,19.227272727272727,10.935064935064934,123.62517426807409,0.1207277092461661,30
594208,4896,884,16,143,132,128,21.15,15.309090909090909,121.36601307189542,0.11852149714052287,30
668017,5509,879,21,149,158,114,17.58,17.541666666666668,121.25921219822109,0.11841719941232529,30
649408,5163,877,23,168,146,128,18.102040816326532,14.517241379310345,125.78113499903156,0.12283313964749176,30
599360,4755,886,14,153,147,137,19.377777777777776,13.758620689655173,126.04837013669821,0.12309411146161935,30
580729,4727,876,24,185,176,104,14.338983050847459,26.15625,122.85360693886186,0.11997422552623228,30
471040,4131,875,25,132,122,105,19.767441860465116,21.794871794871796,114.02565964657468,0.11135318324860809,30
478088,4172,873,27,125,114,100,22.846153846153847,18.37837837837838,114.59443911792906,0.1119086319511026,30
480913,4220,866,34,130,131,110,19.767441860465116,22.23076923076923,113.96042654028436,0.11128947904324644,30
540524,4556,881,19,183,156,155,15.410714285714286,11.413333333333334,118.64003511852502,0.11585940929543459,30
500615,4292,876,24,174,126,97,22.394736842105264,25.545454545454547,116.63909599254427,0.11390536718021901,30
507168,4170,876,24,162,126,102,20.023255813953487,24.86111111111111,121.62302158273381,0.11877248201438849,30
461510,4023,870,30,128,122,133,20.30952380952381,14.65,114.71787223465076,0.11202917210415113,30
528459,4565,882,18,146,144,104,17.42,23.5,115.7631982475356,0.11304999828860898,30
583729,4722,889,11,146,150,109,17.448979591836736,21.615384615384617,123.61901736552308,0.12072169664601863,30
482880,4131,877,23,129,122,106,20.829268292682926,23.13888888888889,116.89179375453885,0.11415214233841685,30
475635,4097,877,23,136,126,109,19.431818181818183,23.416666666666668,116.09348303636807,0.1133725420277032,30
523574,4419,878,22,151,142,98,18.395833333333332,24.62857142857143,118.48246209549671,0.11570552939013351,30
