nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
49010,310,121,779,10,6,0,30.5,0,158.09677419354838,0.1543913810483871,17
63117,360,121,779,18,14,0,85.6,0,175.325,0.1712158203125,17
48283,295,120,780,8,2,0,0.0,0,163.67118644067796,0.15983514300847457,17
56290,314,117,783,10,6,0,0.0,0,179.2675159235669,0.1750659335191083,17
49442,317,120,780,10,6,0,20.0,0,155.96845425867508,0.15231294361198738,17
50243,318,121,779,12,8,0,20.666666666666668,0,157.99685534591194,0.15429380404874213,17
44625,281,116,784,2,0,0,0,0,158.80782918149467,0.1550857706850534,17
44175,279,115,785,2,0,0,0,0,158.33333333333334,0.15462239583333334,17
49103,309,120,780,10,6,0,30.5,0,158.9093851132686,0.15518494639967637,17
50213,317,121,779,12,8,0,20.666666666666668,0,158.4006309148265,0.15468811612776026,17
44097,273,116,784,2,0,0,0,0,161.52747252747253,0.1577416723901099,17
47268,296,117,783,8,4,0,0.0,0,159.6891891891892,0.15594647381756757,17
52117,334,121,779,14,10,0,168.8,0,156.03892215568862,0.15238175991766467,17
44136,276,115,785,2,0,0,0,0,159.91304347826087,0.15616508152173914,17
44361,277,116,784,2,0,0,0,0,160.1480144404332,0.15639454535198555,17
83838,376,127,773,16,12,0,57.0,0,222.97340425531914,0.2177474650930851,17
50309,319,119,781,12,8,0,20.333333333333332,0,157.70846394984326,0.1540121718260188,17
44136,276,116,784,2,0,0,0,0,159.91304347826087,0.15616508152173914,17
44361,277,116,784,2,0,0,0,0,160.1480144404332,0.15639454535198555,17
48917,311,119,781,10,6,0,30.5,0,157.28938906752413,0.15360291901125403,17
69658,377,124,776,18,14,0,64.2,0,184.76923076923077,0.18043870192307693,17
44229,275,116,784,2,0,0,0,0,160.83272727272728,0.15706321022727274,17
48719,308,118,782,10,6,0,30.5,0,158.17857142857142,0.15447126116071427,17
57177,321,119,781,10,6,0,0.5,0,178.1214953271028,0.17394677278037382,17
49925,318,120,780,12,8,0,15.5,0,156.99685534591194,0.15331724154874213,17
54564,319,118,782,10,6,0,0.0,0,171.04702194357367,0.16703810736677116,17
56222,356,129,771,18,12,0,79.8,0,157.92696629213484,0.15422555301966293,17
50569,319,122,778,12,8,0,5.666666666666667,0,158.52351097178683,0.15480811618338558,17
66231,388,129,771,22,18,0,98.375,0,170.69845360824743,0.16669770860180413,17
52704,341,125,775,14,10,0,133.0,0,154.55718475073314,0.15093475073313783,17
59891,392,134,766,24,20,0,96.55555555555556,0,152.78316326530611,0.1492023078762755,17
50057,320,118,782,12,8,0,20.666666666666668,0,156.428125,0.1527618408203125,17
63077,326,119,781,10,6,0,0.5,0,193.48773006134968,0.1889528613880368,17
48617,306,119,781,10,6,0,20.333333333333332,0,158.87908496732027,0.1551553564133987,17
43779,273,115,785,2,0,0,0,0,160.36263736263737,0.15660413804945056,17
50732,323,120,780,12,8,0,20.666666666666668,0,157.06501547987617,0.15338380417956657,17
58845,323,119,781,10,6,0,0.5,0,182.1826625386997,0.17791275638544893,17
48953,311,118,782,10,6,0,20.333333333333332,0,157.40514469453376,0.15371596161575563,17
44229,275,116,784,2,0,0,0,0,160.83272727272728,0.15706321022727274,17
65655,367,123,777,18,14,0,161.25,0,178.89645776566758,0.17470357203678474,17
43650,273,115,785,2,0,0,0,0,159.8901098901099,0.15614268543956045,17
57561,348,124,776,16,12,0,94.2,0,165.4051724137931,0.16152848868534483,17
60652,364,122,778,18,14,0,12.833333333333334,0,166.62637362637363,0.1627210679945055,17
44268,278,116,784,2,0,0,0,0,159.23741007194243,0.15550528327338128,17
43872,272,115,785,2,0,0,0,0,161.2941176470588,0.15751378676470587,17
49406,316,121,779,10,6,0,20.666666666666668,0,156.34810126582278,0.15268369264240506,17
50864,325,121,779,12,8,0,20.666666666666668,0,156.5046153846154,0.15283653846153847,17
44268,278,116,784,2,0,0,0,0,159.23741007194243,0.15550528327338128,17
64758,325,118,782,10,6,0,0.5,0,199.25538461538463,0.19458533653846155,17
48689,308,119,781,10,6,0,30.5,0,158.08116883116884,0.15437614143668832,17
54690,342,126,774,16,10,0,23.0,0,159.91228070175438,0.15616433662280702,17
44202,277,115,785,2,0,0,0,0,159.5740072202166,0.15583399142599277,17
44268,278,116,784,2,0,0,0,0,159.23741007194243,0.15550528327338128,17
66602,361,120,780,16,12,0,69.5,0,184.49307479224376,0.18016901835180055,17
50900,325,120,780,12,8,0,20.666666666666668,0,156.6153846153846,0.15294471153846154,17
56588,316,119,781,10,6,0,0.5,0,179.0759493670886,0.17487885680379747,17
49142,312,118,782,10,6,0,30.5,0,157.50641025641025,0.15381485376602563,17
50336,317,121,779,12,8,0,15.5,0,158.78864353312304,0.15506703470031546,17
56873,321,117,783,10,6,0,0.0,0,177.17445482866043,0.1730219285436137,17
52155,313,118,782,10,6,0,0.5,0,166.629392971246,0.16272401657348243,17
49274,314,119,781,10,6,0,30.5,0,156.9235668789809,0.15324567078025478,17
50468,319,120,780,12,8,0,20.666666666666668,0,158.20689655172413,0.1544989224137931,17
43740,270,115,785,2,0,0,0,0,162.0,0.158203125,17
59486,321,120,780,10,6,0,0.0,0,185.31464174454828,0.18097132982866043,17
49142,312,118,782,10,6,0,20.666666666666668,0,157.50641025641025,0.15381485376602563,17
63796,372,126,774,20,16,0,98.5,0,171.49462365591398,0.1674752184139785,17
51199,317,119,781,10,6,0,0.5,0,161.51104100946372,0.15772562598580442,17
57232,351,124,776,16,12,0,95.25,0,163.05413105413106,0.15923254985754987,17
50204,315,121,779,12,8,0,20.666666666666668,0,159.37777777777777,0.1556423611111111,17
43872,272,115,785,2,0,0,0,0,161.2941176470588,0.15751378676470587,17
44136,276,116,784,2,0,0,0,0,159.91304347826087,0.15616508152173914,17
49274,314,119,781,10,6,0,20.333333333333332,0,156.9235668789809,0.15324567078025478,17
50600,321,119,781,12,8,0,20.333333333333332,0,157.63239875389408,0.1539378894080997,17
44400,280,114,786,2,0,0,0,0,158.57142857142858,0.15485491071428573,17
48151,293,119,781,8,2,0,0.0,0,164.33788395904438,0.16048621480375427,17
