nBytes,nPackets,activeTime,sleepTime,ports,dns_req,ntp_req,dns_interval,ntp_interval,avg_pkt,mean_rate,Label
7455,71,25,875,8,2,0,0.0,0,105.0,0.1025390625,11
5163,56,25,875,2,0,0,0,0,92.19642857142857,0.09003557477678571,11
5262,54,24,876,2,0,0,0,0,97.44444444444444,0.09516059027777778,11
5139,53,24,876,2,0,0,0,0,96.9622641509434,0.09468971108490566,11
5478,58,27,873,2,0,0,0,0,94.44827586206897,0.09223464439655173,11
5532,59,27,873,2,0,0,0,0,93.76271186440678,0.09156514830508475,11
5424,57,27,873,2,0,0,0,0,95.15789473684211,0.09292763157894737,11
5316,55,25,875,2,0,0,0,0,96.65454545454546,0.09438920454545455,11
5793,60,23,877,2,0,0,0,0,96.55,0.094287109375,11
5439,56,27,873,2,0,0,0,0,97.125,0.0948486328125,11
5601,59,28,872,2,0,0,0,0,94.9322033898305,0.09270722987288135,11
5379,60,25,875,2,0,0,0,0,89.65,0.087548828125,11
6360,63,23,877,6,2,0,0.0,0,100.95238095238095,0.09858630952380952,11
5478,58,25,875,2,0,0,0,0,94.44827586206897,0.09223464439655173,11
4986,54,25,875,2,0,0,0,0,92.33333333333333,0.09016927083333333,11
5001,53,21,879,2,0,0,0,0,94.35849056603773,0.09214696344339622,11
5094,56,22,878,2,0,0,0,0,90.96428571428571,0.08883231026785714,11
5148,57,22,878,2,0,0,0,0,90.3157894736842,0.08819901315789473,11
5109,55,25,875,2,0,0,0,0,92.89090909090909,0.09071377840909091,11
4932,53,21,879,2,0,0,0,0,93.05660377358491,0.09087558962264151,11
5016,52,22,878,2,0,0,0,0,96.46153846153847,0.09420072115384616,11
5139,53,22,878,2,0,0,0,0,96.9622641509434,0.09468971108490566,11
5448,60,26,874,2,0,0,0,0,90.8,0.088671875,11
4986,54,23,877,2,0,0,0,0,92.33333333333333,0.09016927083333333,11
8249,76,26,874,8,2,0,0.0,0,108.53947368421052,0.10599557976973684,11
5040,55,23,877,2,0,0,0,0,91.63636363636364,0.08948863636363637,11
5301,56,23,877,2,0,0,0,0,94.66071428571429,0.09244210379464286,11
5193,54,25,875,2,0,0,0,0,96.16666666666667,0.09391276041666667,11
5109,55,23,877,2,0,0,0,0,92.89090909090909,0.09071377840909091,11
5232,56,25,875,2,0,0,0,0,93.42857142857143,0.09123883928571429,11
5409,58,27,873,2,0,0,0,0,93.25862068965517,0.09107287176724138,11
5424,57,27,873,2,0,0,0,0,95.15789473684211,0.09292763157894737,11
5286,57,24,876,2,0,0,0,0,92.73684210526316,0.09056332236842106,11
5478,58,26,874,2,0,0,0,0,94.44827586206897,0.09223464439655173,11
5355,57,24,876,2,0,0,0,0,93.94736842105263,0.09174547697368421,11
5325,59,24,876,2,0,0,0,0,90.2542372881356,0.08813890360169492,11
6685,69,27,873,6,2,0,0.0,0,96.8840579710145,0.09461333786231885,11
5394,59,27,873,2,0,0,0,0,91.42372881355932,0.08928098516949153,11
5370,56,26,874,2,0,0,0,0,95.89285714285714,0.09364536830357142,11
5340,58,25,875,2,0,0,0,0,92.06896551724138,0.08991109913793104,11
5124,54,22,878,2,0,0,0,0,94.88888888888889,0.09266493055555555,11
5301,56,26,874,2,0,0,0,0,94.66071428571429,0.09244210379464286,11
5109,55,27,873,2,0,0,0,0,92.89090909090909,0.09071377840909091,11
5355,57,30,870,2,0,0,0,0,93.94736842105263,0.09174547697368421,11
5217,57,24,876,2,0,0,0,0,91.52631578947368,0.0893811677631579,11
5301,56,23,877,2,0,0,0,0,94.66071428571429,0.09244210379464286,11
5286,57,24,876,2,0,0,0,0,92.73684210526316,0.09056332236842106,11
5616,58,27,873,2,0,0,0,0,96.82758620689656,0.09455818965517242,11
7731,71,28,872,8,2,0,0.0,0,108.88732394366197,0.10633527728873239,11
5271,58,25,875,2,0,0,0,0,90.87931034482759,0.08874932650862069,11
5247,55,25,875,2,0,0,0,0,95.4,0.0931640625,11
5409,58,26,874,2,0,0,0,0,93.25862068965517,0.09107287176724138,11
5685,58,26,874,2,0,0,0,0,98.01724137931035,0.09571996228448276,11
5355,57,28,872,2,0,0,0,0,93.94736842105263,0.09174547697368421,11
5724,60,30,870,2,0,0,0,0,95.4,0.0931640625,11
5316,55,24,876,2,0,0,0,0,96.65454545454546,0.09438920454545455,11
5331,54,26,874,2,0,0,0,0,98.72222222222223,0.0964084201388889,11
5478,58,24,876,2,0,0,0,0,94.44827586206897,0.09223464439655173,11
5178,55,23,877,2,0,0,0,0,94.14545454545454,0.09193892045454545,11
5562,57,26,874,2,0,0,0,0,97.57894736842105,0.09529194078947369,11
6538,65,24,876,6,2,0,0.0,0,100.58461538461539,0.09822716346153847,11
5424,57,28,872,2,0,0,0,0,95.15789473684211,0.09292763157894737,11
5340,58,25,875,2,0,0,0,0,92.06896551724138,0.08991109913793104,11
5094,56,25,875,2,0,0,0,0,90.96428571428571,0.08883231026785714,11
5355,57,27,873,2,0,0,0,0,93.94736842105263,0.09174547697368421,11
5070,53,22,878,2,0,0,0,0,95.66037735849056,0.09341833726415094,11
5109,55,25,875,2,0,0,0,0,92.89090909090909,0.09071377840909091,11
5124,54,24,876,2,0,0,0,0,94.88888888888889,0.09266493055555555,11
5178,55,28,872,2,0,0,0,0,94.14545454545454,0.09193892045454545,11
5178,55,26,874,2,0,0,0,0,94.14545454545454,0.09193892045454545,11
4962,51,23,877,2,0,0,0,0,97.29411764705883,0.09501378676470588,11
4947,52,24,876,2,0,0,0,0,95.13461538461539,0.09290489783653846,11
7077,64,24,876,8,2,0,0.0,0,110.578125,0.1079864501953125,11
4947,52,21,879,2,0,0,0,0,95.13461538461539,0.09290489783653846,11
5109,55,21,879,2,0,0,0,0,92.89090909090909,0.09071377840909091,11
5340,58,24,876,2,0,0,0,0,92.06896551724138,0.08991109913793104,11
5355,57,25,875,2,0,0,0,0,93.94736842105263,0.09174547697368421,11
5070,53,21,879,2,0,0,0,0,95.66037735849056,0.09341833726415094,11
5163,56,23,877,2,0,0,0,0,92.19642857142857,0.09003557477678571,11
5340,58,23,877,2,0,0,0,0,92.06896551724138,0.08991109913793104,11
5163,56,23,877,2,0,0,0,0,92.19642857142857,0.09003557477678571,11
5055,54,26,874,2,0,0,0,0,93.61111111111111,0.09141710069444445,11
4947,52,23,877,2,0,0,0,0,95.13461538461539,0.09290489783653846,11
5562,57,28,872,2,0,0,0,0,97.57894736842105,0.09529194078947369,11
6808,70,26,874,6,2,0,0.0,0,97.25714285714285,0.09497767857142857,11
5370,56,23,877,2,0,0,0,0,95.89285714285714,0.09364536830357142,11
5178,55,23,877,2,0,0,0,0,94.14545454545454,0.09193892045454545,11
5301,56,27,873,2,0,0,0,0,94.66071428571429,0.09244210379464286,11
5178,55,24,876,2,0,0,0,0,94.14545454545454,0.09193892045454545,11
5154,52,25,875,2,0,0,0,0,99.11538461538461,0.09679236778846154,11
5217,57,22,878,2,0,0,0,0,91.52631578947368,0.0893811677631579,11
5193,54,25,875,2,0,0,0,0,96.16666666666667,0.09391276041666667,11
4986,54,24,876,2,0,0,0,0,92.33333333333333,0.09016927083333333,11
5379,60,25,875,2,0,0,0,0,89.65,0.087548828125,11
5094,56,23,877,2,0,0,0,0,90.96428571428571,0.08883231026785714,11
5310,60,24,876,2,0,0,0,0,88.5,0.08642578125,11
7439,72,29,871,8,2,0,0.0,0,103.31944444444444,0.10089789496527778,11
5148,57,24,876,2,0,0,0,0,90.3157894736842,0.08819901315789473,11
5325,59,21,879,2,0,0,0,0,90.2542372881356,0.08813890360169492,11
5325,59,26,874,2,0,0,0,0,90.2542372881356,0.08813890360169492,11
5163,56,22,878,2,0,0,0,0,92.19642857142857,0.09003557477678571,11
5340,58,23,877,2,0,0,0,0,92.06896551724138,0.08991109913793104,11
5601,59,24,876,2,0,0,0,0,94.9322033898305,0.09270722987288135,11
